,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.61,0.27,0.05,0.06,0.06,0.38,0.6,0.85,0.18,0.16
haphazard.csv,0.51,0.27,0.58,0.05,0.08,0.6,1.0,0.62,0.32,0.22
jicarilla.csv,0.5,0.0,0.79,0.0,0.0,0.0,0.67,0.68,0.0,0.0
ondex.csv,0.72,0.5,0.0,0.09,0.08,0.33,0.0,0.67,0.37,0.31
optalgtoolkit.csv,0.47,0.25,0.31,0.02,0.06,0.48,0.64,0.85,0.29,0.11
ossim.csv,0.41,0.24,0.4,0.13,0.0,0.4,0.53,0.67,0.15,0.18
projectts.csv,0.62,0.26,0.15,0.06,0.06,0.36,0.68,0.5,0.23,0.14
sabbu.csv,0.78,0.25,0.45,0.07,0.08,0.3,0.59,0.73,0.18,0.22
vxl.csv,0.6,0.27,0.33,0.08,0.04,0.32,0.67,0.82,0.23,0.19
zact.csv,0.44,0.22,0.7,0.07,0.13,0.0,0.6,0.67,0.25,0.4
