,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.41,0.45,0.68,0.39,0.33,0.28,0.46,0.46,0.33,0.38
haphazard.csv,0.7,0.95,0.92,0.62,0.88,0.8,0.5,0.81,0.68,0.61
jicarilla.csv,0.88,0.0,0.79,0.5,0.0,0.0,0.67,0.52,0.0,0.0
ondex.csv,0.46,0.95,0.86,0.52,0.48,0.67,0.0,0.67,0.68,0.68
optalgtoolkit.csv,0.74,0.8,0.62,0.64,0.56,0.52,0.64,0.58,0.57,0.57
ossim.csv,0.88,0.76,0.6,0.63,0.8,0.53,0.53,0.33,0.44,0.38
projectts.csv,0.48,0.62,0.54,0.55,0.36,0.31,0.68,0.5,0.37,0.39
sabbu.csv,0.44,0.49,0.95,0.44,0.53,0.9,0.52,0.91,0.53,0.43
vxl.csv,0.45,0.65,0.56,0.69,0.48,0.44,0.58,0.91,0.41,0.43
zact.csv,0.69,0.89,0.96,0.8,0.74,0.0,0.6,0.76,0.92,0.96
