,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.37,0.33,0.5,0.65,0.77,0.96,0.49,0.0
fceugc.csv,0.32,0.2,0.56,0.75,0.68,0.79,0.47,0.8
ftm.csv,0.27,0.42,0.43,0.82,0.71,0.83,0.62,0.8
google-gears.csv,0.28,0.26,0.35,0.73,0.65,0.88,0.47,0.44
jaolt.csv,0.12,0.36,0.42,0.82,0.69,0.86,0.59,0.44
jcache.csv,0.29,0.48,0.39,0.77,0.66,0.75,0.41,0.84
kmess.csv,0.0,0.32,0.4,0.92,0.72,1.0,0.6,0.73
xmemcached.csv,0.25,0.62,0.3,0.77,0.6,0.76,0.37,0.44
