,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.14,0.44,0.31,0.24,0.48,0.28,0.25,0.52,0.0,0.47,0.04
elateportal.csv,0.25,0.27,0.26,0.49,0.24,0.31,0.43,0.4,0.98,0.38,0.98
etics.csv,0.31,0.25,0.56,0.49,0.29,0.14,0.21,0.47,0.08,0.3,0.09
lockss.csv,0.26,0.53,0.41,0.62,0.31,0.39,0.37,0.79,0.77,0.51,0.78
pcgen.csv,0.24,0.53,0.36,0.69,0.29,0.29,0.42,0.52,0.98,0.5,0.94
personalaccess.csv,0.3,0.49,0.52,0.66,0.39,0.37,0.31,0.85,0.64,0.51,0.5
pydev.csv,0.33,0.48,0.53,0.49,0.38,0.28,0.34,0.61,0.02,0.64,0.13
rhex.csv,0.51,0.48,0.0,0.49,0.17,0.32,0.23,0.57,0.82,0.48,0.12
stuproa-cims.csv,0.25,0.23,0.22,0.64,0.3,0.39,0.53,0.45,0.8,0.46,0.12
uclmda.csv,0.16,0.09,0.0,0.13,0.0,0.0,0.03,0.13,1.0,0.04,0.09
wgs-assembler.csv,0.26,0.51,0.39,0.62,0.37,0.33,0.36,0.81,0.61,0.54,0.12
