,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.67,0.0,0.96,0.86,0.89,0.7,0.74,0.88,0.31,0.79,0.9,0.65
dvt.csv,0.49,0.3,0.0,0.58,0.6,0.96,0.61,0.47,0.27,0.54,0.89,0.6
flylinkdc.csv,0.58,0.28,0.6,0.55,0.5,0.57,0.67,0.52,0.94,0.45,0.4,0.47
fulguro.csv,0.0,0.0,0.62,0.0,0.0,0.51,0.83,0.5,0.0,0.74,0.62,0.72
fw4spl.csv,0.5,0.55,0.67,0.57,0.89,0.63,0.58,0.42,0.95,0.93,0.93,0.5
ipfire-wall.csv,0.69,0.5,0.59,0.62,0.67,0.87,0.71,0.44,0.0,0.75,0.74,0.48
jruby.csv,0.36,0.26,0.53,0.54,0.5,0.83,0.5,0.5,0.29,0.57,0.38,0.0
ldview.csv,0.36,0.4,0.62,0.54,0.58,0.65,0.0,0.38,0.28,0.55,0.37,0.62
nuttx.csv,0.61,0.99,0.73,0.74,0.56,0.72,0.85,0.59,0.39,0.69,0.57,0.93
oorexx.csv,0.42,0.77,0.93,0.53,0.51,0.48,0.82,0.42,0.35,0.69,0.44,0.58
uclmda.csv,0.74,0.88,0.97,0.91,0.78,0.82,0.93,0.76,0.27,0.0,0.0,0.92
vdsf.csv,0.44,0.97,0.65,0.63,0.62,0.78,0.56,0.37,0.46,0.48,0.42,0.48
