,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.31,0.88,0.97,0.95,0.76,0.52,0.95,1.0,0.91,0.92,0.97
ivef-sdk.csv,0.62,0.5,0.0,0.82,0.21,0.15,0.67,0.3,0.62,0.0,0.34
jaolt.csv,0.62,0.4,0.03,0.74,0.48,0.03,0.23,0.23,0.61,0.4,0.21
jmule.csv,0.72,0.57,0.1,0.74,0.59,0.85,0.37,0.46,0.54,0.64,0.17
jstock.csv,0.44,0.55,0.8,0.66,0.48,0.33,0.23,0.16,0.13,0.56,0.07
lphant.csv,0.56,0.7,0.47,0.66,0.62,0.18,0.51,0.21,0.54,0.36,0.55
novembre.csv,0.22,0.18,0.07,0.16,0.21,0.18,0.21,0.0,0.39,0.04,0.1
oorexx.csv,0.38,0.15,0.2,0.0,0.52,0.18,0.16,0.05,0.28,0.36,0.66
pi-qmc.csv,0.72,0.85,0.83,0.61,0.76,0.7,0.53,0.18,0.48,0.52,0.62
qedo.csv,0.22,0.25,0.03,0.03,0.28,0.15,0.58,0.32,0.22,0.16,0.34
yaprm.csv,0.38,0.38,0.1,0.32,0.1,0.03,0.67,0.07,0.51,0.56,0.72
