,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.73,0.44,0.19,0.65,0.75,0.59,0.25,0.45,0.08,0.68,0.59
ivef-sdk.csv,0.71,0.51,1.0,0.66,0.49,0.41,0.21,0.57,0.18,0.0,0.31
jaolt.csv,0.7,0.49,0.24,0.62,0.76,0.45,0.16,0.52,0.1,0.63,0.57
jmule.csv,0.59,0.47,0.16,0.45,0.77,0.57,0.52,0.43,0.07,0.58,0.84
jstock.csv,0.53,0.48,0.24,0.6,0.57,0.51,0.71,0.56,0.04,0.72,0.21
lphant.csv,0.75,0.49,0.22,0.64,0.76,0.72,0.4,0.55,0.2,0.58,0.62
novembre.csv,0.35,0.67,0.06,0.42,0.48,0.29,0.15,0.37,0.06,0.0,0.52
oorexx.csv,0.48,0.1,0.08,0.05,0.41,0.27,0.36,0.0,0.11,0.68,0.63
pi-qmc.csv,0.68,0.51,0.16,0.51,0.74,0.61,0.34,0.79,0.09,0.59,0.66
qedo.csv,0.44,0.15,0.94,0.05,0.31,0.32,0.21,0.15,0.35,0.52,0.36
yaprm.csv,0.77,0.51,0.23,0.68,0.29,0.3,0.31,0.56,0.19,0.63,0.52
