,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.67,0.93,0.15,0.97,0.79,0.68,0.54,1.0,0.45,0.83,0.92
ivef-sdk.csv,0.81,0.8,1.0,0.92,0.34,0.36,0.38,0.73,0.77,0.0,0.25
jaolt.csv,0.74,0.73,0.15,0.78,0.73,0.32,0.23,0.55,0.36,0.61,0.67
jmule.csv,0.6,0.67,0.09,0.49,0.77,0.86,0.85,0.59,0.23,0.56,0.88
jstock.csv,0.47,0.8,0.15,0.7,0.48,0.59,0.92,0.55,0.05,0.81,0.12
lphant.csv,0.88,0.73,0.13,0.78,0.79,0.77,0.92,0.59,0.86,0.53,0.75
novembre.csv,0.26,0.73,0.03,0.32,0.34,0.23,0.23,0.23,0.18,0.0,0.54
oorexx.csv,0.4,0.07,0.04,0.03,0.3,0.18,0.31,0.0,0.14,0.64,0.71
pi-qmc.csv,0.79,0.93,0.12,0.51,0.78,0.95,0.54,0.95,0.32,0.58,0.83
qedo.csv,0.37,0.13,0.91,0.03,0.21,0.27,0.31,0.18,0.82,0.47,0.33
yaprm.csv,0.84,0.67,0.13,0.68,0.18,0.18,0.62,0.5,0.73,0.67,0.67
