,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.2,0.48,0.48,0.79,0.0
minig.csv,0.6,0.46,0.0,0.59,0.09
ossbuild.csv,0.05,0.07,0.15,0.01,0.03
rezilla.csv,0.0,0.89,0.81,0.95,0.9
webdriver.csv,0.25,0.04,0.53,0.3,0.28
