,id,count_recall,count_precision,count_pf,cdom_score,bellwether
55,2,1,2,2,1,mclient-mume.csv
51,3,1,2,5,5,jam-daq.csv
49,4,5,7,15,19,icescrum.csv
57,5,0,2,5,5,nunit.csv
24,6,3,6,7,10,forester-atv.csv
19,7,2,7,16,18,sblim.csv
29,8,3,3,7,10,scenemonitor.csv
27,10,1,0,1,0,atunes.csv
18,11,2,1,3,3,fluent-nhibernate.csv
56,13,1,2,1,2,amanda.csv
58,14,3,9,16,18,snakeyaml.csv
50,15,3,6,11,15,openmeetings.csv
21,16,0,5,10,9,jfreereport.csv
26,17,1,1,2,2,yafdotnet.csv
16,18,1,1,2,2,qpe.csv
28,19,6,2,6,9,superwaba.csv
15,20,4,2,4,5,voms.csv
30,21,7,2,8,15,aztec.csv
59,22,2,2,6,5,wow-qrsk.csv
17,27,3,1,1,6,bochs.csv
25,28,0,2,11,12,bscwweasel.csv
20,29,8,5,7,14,unbvision.csv
39,30,7,13,11,17,chrysalis.csv
6,32,1,5,10,9,quark.csv
14,33,1,5,9,9,m-a-d-n-e-s-s.csv
13,34,1,2,2,3,zorannt.csv
7,35,3,10,18,19,customwars.csv
34,36,2,9,17,16,cornerstone.csv
40,37,3,5,10,10,sepgsql.csv
33,38,6,6,8,15,zildo.csv
41,39,1,2,7,6,rtb-team.csv
53,40,5,2,4,8,applet2app.csv
47,41,2,2,4,4,adaptagrams.csv
22,42,1,5,6,5,genoviz.csv
32,43,3,5,6,7,etics.csv
31,44,3,0,4,5,rezilla.csv
23,45,1,3,5,4,tolven.csv
46,46,2,6,8,10,modellus.csv
54,47,1,10,17,17,omseek.csv
48,48,5,3,7,11,popeye-chess.csv
52,49,5,9,8,14,delphilhlplib.csv
3,50,3,5,8,12,ftm.csv
42,52,3,4,4,6,olex2.csv
38,53,4,3,12,15,mia.csv
37,54,2,1,2,2,graphmak.csv
43,55,1,4,12,9,jvcl.csv
9,56,2,1,6,7,ossim.csv
5,57,2,7,11,16,opengs.csv
10,58,2,6,12,12,lockss.csv
1,59,3,5,14,18,yaprm.csv
12,60,1,1,5,4,nassp.csv
0,61,1,2,13,16,ctrlr.csv
36,62,0,2,6,5,plplot.csv
44,63,8,9,8,15,cubefs.csv
45,64,1,3,6,5,alembik.csv
35,65,1,4,13,12,proftp.csv
2,66,2,1,1,1,silvertree.csv
11,67,5,9,9,15,elvishrayrenderer.csv
4,68,1,2,9,8,gtad.csv
8,69,1,0,1,1,thrust.csv
