,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.43,0.06,0.83,0.81,0.63,0.58,0.49,0.68,0.51,0.69
jmule.csv,0.59,0.64,1.02,0.64,0.64,0.59,0.81,0.67,0.66,0.03
nosleepsoftware.csv,0.78,0.76,0.13,1.0,0.99,0.96,1.0,0.87,0.96,0.58
open-ms.csv,0.93,0.78,0.53,0.74,0.87,0.72,0.59,0.08,0.81,1.0
qgo.csv,0.03,0.61,0.51,0.9,0.78,0.77,0.5,0.59,0.55,0.53
rezilla.csv,0.71,0.75,0.73,0.0,0.51,0.63,0.77,0.75,0.79,0.81
riff-evolve.csv,0.7,0.64,0.7,0.96,0.56,0.03,0.56,0.67,0.63,0.78
uwom.csv,0.72,0.7,0.75,0.89,0.54,0.76,0.58,0.68,0.06,0.68
virtuoso.csv,0.81,0.96,0.98,0.68,0.9,0.88,0.07,0.84,0.51,0.8
yield.csv,0.51,0.71,0.64,0.75,0.03,0.69,0.62,0.65,0.7,0.88
