,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.5,0.48,0.67,0.44,0.61,0.54,0.55,0.64,0.55,0.33
jmule.csv,0.43,0.52,0.59,0.44,0.44,0.48,0.69,0.53,0.45,0.48
nosleepsoftware.csv,0.92,0.7,0.67,0.0,0.9,0.8,0.91,0.88,0.99,0.47
open-ms.csv,0.4,0.5,0.59,0.83,0.73,0.88,0.68,0.9,0.61,0.31
qgo.csv,0.45,0.44,0.58,0.67,0.87,0.76,0.47,0.59,0.52,0.33
rezilla.csv,0.39,0.38,0.42,0.68,0.41,0.39,0.34,0.41,0.43,0.33
riff-evolve.csv,0.53,0.59,0.83,0.83,0.55,0.57,0.49,0.66,0.53,0.75
uwom.csv,0.47,0.72,0.51,0.57,0.61,0.55,0.67,0.49,0.82,0.83
virtuoso.csv,0.37,0.4,0.42,0.44,0.48,0.48,0.78,0.43,0.53,0.4
yield.csv,0.38,0.39,0.38,0.82,0.52,0.51,0.39,0.46,0.4,0.36
