,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.71,0.98,0.28,0.5,0.45,0.55,0.73,0.51,0.63,0.55
jmule.csv,0.61,0.52,0.14,0.68,0.69,0.6,0.3,0.59,0.64,0.99
nosleepsoftware.csv,0.27,0.33,0.9,0.0,0.02,0.05,0.0,0.19,0.06,0.5
open-ms.csv,0.31,0.54,0.82,0.3,0.4,0.44,0.51,0.93,0.46,0.0
qgo.csv,0.98,0.51,0.55,0.13,0.26,0.27,0.6,0.49,0.55,0.72
rezilla.csv,0.62,0.56,0.62,1.0,0.72,0.62,0.57,0.58,0.53,0.51
riff-evolve.csv,0.37,0.43,0.36,0.06,0.51,0.97,0.57,0.44,0.53,0.29
uwom.csv,0.59,0.43,0.56,0.4,0.62,0.54,0.6,0.62,0.96,0.38
virtuoso.csv,0.52,0.17,0.09,0.63,0.35,0.41,0.94,0.48,0.78,0.53
yield.csv,0.74,0.58,0.66,0.3,0.98,0.46,0.67,0.66,0.62,0.42
