,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.34,0.06,0.36,0.72,0.22,0.34,0.44,0.47,0.35,0.55
jmule.csv,0.46,0.41,0.53,0.62,0.63,0.45,0.34,0.58,0.62,0.03
nosleepsoftware.csv,0.14,0.26,0.02,0.0,0.13,0.01,0.08,0.21,0.18,0.21
open-ms.csv,0.91,0.72,0.53,0.02,0.65,0.43,0.28,0.0,0.64,1.0
qgo.csv,0.0,0.32,0.09,0.02,0.01,0.09,0.25,0.22,0.27,0.48
rezilla.csv,0.69,0.7,0.72,0.0,0.46,0.55,0.76,0.72,0.74,0.76
riff-evolve.csv,0.2,0.16,0.15,0.12,0.13,0.01,0.33,0.31,0.4,0.21
uwom.csv,0.69,0.35,0.68,0.68,0.4,0.67,0.42,0.63,0.0,0.14
virtuoso.csv,0.8,0.96,0.98,0.65,0.9,0.87,0.01,0.83,0.5,0.76
yield.csv,0.49,0.62,0.62,0.15,0.0,0.39,0.59,0.62,0.68,0.86
