,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.73,0.99,0.25,0.63,0.41,0.53,0.79,0.51,0.63,0.58
jmule.csv,0.63,0.51,0.12,0.84,0.89,0.62,0.26,0.66,0.77,1.0
nosleepsoftware.csv,0.23,0.29,0.88,0.0,0.02,0.04,0.0,0.16,0.05,0.46
open-ms.csv,0.83,0.7,1.0,0.26,0.41,0.42,0.48,0.92,0.5,0.96
qgo.csv,0.97,0.48,0.5,0.11,0.22,0.23,0.57,0.45,0.52,0.79
rezilla.csv,0.83,0.72,0.88,1.0,0.78,0.69,0.88,0.79,0.71,0.71
riff-evolve.csv,0.33,0.38,0.31,0.05,0.46,0.97,0.55,0.4,0.52,0.25
uwom.csv,0.77,0.4,0.69,0.42,0.63,0.64,0.6,0.74,0.95,0.33
virtuoso.csv,0.87,0.98,1.0,0.79,0.92,0.89,0.93,0.87,0.91,0.75
yield.csv,0.83,0.66,0.81,0.26,0.97,0.43,0.79,0.8,0.8,0.83
