,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.65,0.67,0.39,0.14,0.57,0.34,0.27,0.89,0.69,0.79,0.35,0.68,0.19,0.48
encog-cs.csv,0.93,0.67,0.55,1.0,0.84,0.79,0.82,1.0,0.36,0.18,0.96,0.86,1.0,0.71
extprosys.csv,0.63,1.0,0.28,0.57,0.87,0.75,0.73,0.89,0.92,0.99,0.49,0.54,0.22,0.61
intact.csv,0.6,1.0,0.51,0.43,0.65,0.3,0.09,0.33,0.53,0.98,0.51,0.41,0.52,0.29
japano.csv,0.8,1.0,0.72,0.93,0.74,0.79,1.0,0.22,0.91,0.82,0.94,0.89,0.96,0.58
lockss.csv,0.35,0.0,0.32,0.0,0.32,0.19,0.27,0.56,0.05,0.34,0.33,0.32,0.04,0.13
officefloor.csv,0.57,0.0,0.32,0.43,0.22,0.22,0.0,0.78,0.39,0.27,0.27,0.14,0.11,0.74
opennms.csv,0.36,0.83,0.0,0.0,0.22,0.05,0.45,0.0,0.32,0.27,0.08,0.24,0.07,0.0
primefaces.csv,0.68,0.83,1.0,0.43,0.73,0.85,0.64,0.89,0.99,0.86,0.99,0.81,0.3,0.9
rohxel.csv,0.56,0.5,0.75,0.21,0.32,0.23,0.18,0.56,0.38,0.26,0.49,0.35,0.74,0.0
roolo.csv,0.74,0.67,0.78,0.64,0.82,0.79,0.27,0.56,0.53,0.73,0.84,0.22,0.85,0.71
sevenupdate.csv,0.96,0.0,1.0,1.0,0.91,1.0,1.0,1.0,0.93,0.67,1.0,1.0,1.0,1.0
web-cat.csv,0.78,0.17,0.93,0.86,0.82,0.77,0.91,0.89,0.93,0.78,0.72,0.76,0.48,0.16
