,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.77,0.3,0.18,0.21,0.09,0.09,0.69,0.32,0.22,0.43,0.2,0.23
blue-c.csv,0.54,0.66,0.47,0.55,0.47,0.57,0.31,0.16,0.82,0.47,0.53,0.5
cities3d.csv,0.71,0.45,0.05,0.79,0.15,0.05,0.26,0.8,0.19,0.02,0.33,0.0
dynalloy.csv,0.69,0.27,0.48,0.55,0.5,0.75,0.82,0.08,0.91,0.84,0.6,0.7
firebird.csv,0.23,0.34,0.32,0.17,0.06,0.43,0.47,0.04,0.2,0.22,0.87,0.2
hydrogen.csv,1.0,1.0,1.0,1.0,0.97,1.0,0.77,0.92,0.17,0.0,0.0,0.93
nosleepsoftware.csv,0.14,0.03,0.1,0.32,0.15,0.05,0.21,0.12,0.0,0.08,0.13,0.2
openmalaria.csv,0.69,0.52,0.53,0.72,0.24,0.09,0.34,0.32,0.38,0.2,0.97,0.34
popeye-chess.csv,0.29,0.21,0.27,0.43,0.28,0.32,0.07,0.24,0.28,0.24,0.6,0.18
qgo.csv,0.14,0.63,0.8,0.7,0.46,0.82,0.86,0.84,0.37,0.8,0.83,0.75
xmoto.csv,0.03,0.43,0.34,0.62,0.32,0.2,0.33,0.28,0.33,0.2,0.17,0.27
yield.csv,0.54,0.82,0.46,0.6,0.18,0.41,0.98,0.28,0.7,0.65,0.93,0.48
