,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.5,0.57,0.61,0.52,0.1,0.55,0.09,0.44,0.74,0.68,0.0,0.52,0.53,0.33,0.61,0.48,0.24
avisynth2.csv,0.19,0.0,0.23,0.15,0.0,0.05,0.99,0.0,0.0,0.13,0.01,0.27,0.27,0.0,0.0,0.06,0.0
bigdata.csv,0.12,0.31,0.57,0.09,0.05,0.26,0.75,0.24,0.61,0.3,0.21,0.7,0.33,0.19,0.06,0.35,0.47
dsworkbench.csv,0.71,0.43,0.33,0.24,0.38,0.42,0.0,0.44,0.14,0.32,0.46,0.45,0.0,0.37,0.32,0.26,0.64
foursquared.csv,0.32,0.21,0.14,0.5,0.81,0.14,0.69,0.0,0.43,0.25,0.04,0.12,0.07,0.19,0.19,0.24,0.0
geotools.csv,0.56,0.52,0.63,0.6,0.59,0.61,0.0,0.96,0.49,0.61,0.57,0.47,0.39,0.64,0.12,0.47,0.27
gephex.csv,0.0,0.29,0.6,0.29,0.2,0.51,0.0,0.41,0.3,0.64,0.67,0.45,0.64,0.24,0.21,0.53,0.69
jgossipforum.csv,0.02,0.27,0.62,0.26,0.29,0.23,0.0,0.99,0.74,0.23,0.31,0.19,0.35,0.45,0.05,0.16,0.0
madman.csv,0.12,0.35,0.35,0.26,0.62,0.31,0.0,0.41,0.85,0.35,0.35,0.14,0.41,0.48,0.46,0.37,0.0
pokenetonline.csv,0.24,0.5,0.62,0.7,0.61,0.6,0.3,0.64,0.3,0.6,0.56,0.3,0.28,0.37,0.5,0.78,0.0
qmmp.csv,0.66,0.59,0.54,0.43,0.53,0.3,0.77,0.24,0.75,0.43,0.52,0.35,0.5,0.7,0.47,0.66,0.0
rcp-company-uibindings.csv,0.54,0.38,0.58,0.31,0.69,0.6,0.86,0.45,0.8,0.61,0.56,0.59,0.32,0.52,0.12,0.88,0.91
simplewebservices.csv,0.0,0.34,0.61,0.48,0.53,0.52,0.47,0.52,0.61,0.62,0.6,0.43,0.37,0.2,0.65,0.44,0.7
t-2.csv,0.42,0.17,0.6,0.45,0.32,0.65,0.66,0.24,0.56,0.38,0.27,0.37,0.31,0.54,0.01,0.32,0.94
wsmt.csv,0.26,0.0,0.07,0.0,0.14,0.19,0.0,0.0,0.0,0.05,0.12,0.32,0.81,0.0,0.0,0.45,0.0
yarp0.csv,0.52,0.26,0.7,0.49,0.43,0.53,0.0,0.24,0.86,0.57,0.57,0.46,0.32,0.6,0.51,0.49,0.0
