,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.81,0.23,0.58,0.16,0.2,0.47,0.98,0.2,0.55,0.58,1.0,0.41,0.4,0.21,0.53,0.2,0.94
avisynth2.csv,0.06,0.02,0.05,0.04,0.02,0.07,0.05,0.01,0.0,0.07,0.05,0.22,0.2,0.0,0.01,0.0,0.05
bigdata.csv,0.19,0.17,0.71,0.08,0.09,0.21,0.63,0.01,0.76,0.16,0.95,0.46,0.23,0.05,0.18,0.4,0.85
dsworkbench.csv,0.25,0.19,0.53,0.08,0.09,0.32,0.44,0.33,0.53,0.28,0.41,0.51,0.13,0.32,0.3,0.2,0.74
foursquared.csv,0.12,0.1,0.13,0.08,0.24,0.13,0.19,0.01,0.1,0.2,0.07,0.05,0.07,0.05,0.06,0.1,0.02
geotools.csv,0.75,0.73,0.71,0.72,0.61,0.39,0.23,0.18,0.84,0.31,0.78,0.3,0.8,0.24,0.11,0.5,0.93
gephex.csv,1.0,0.92,0.71,0.92,0.33,0.39,0.66,0.55,0.92,0.59,0.39,0.32,0.5,0.94,0.95,0.4,0.69
jgossipforum.csv,0.06,0.23,0.39,0.16,0.3,0.14,0.08,0.07,0.29,0.1,0.46,0.05,0.6,0.18,0.09,0.1,0.45
madman.csv,0.12,0.38,0.21,0.48,0.39,0.39,0.03,0.55,0.27,0.43,0.27,0.14,0.57,0.13,0.43,0.8,0.08
pokenetonline.csv,0.94,0.83,0.74,0.16,0.76,0.76,0.92,0.74,0.92,0.76,0.78,0.92,0.77,0.89,0.82,0.4,0.92
qmmp.csv,0.56,0.54,0.71,0.36,0.8,0.92,0.6,0.07,0.53,0.86,0.61,0.89,0.7,0.18,0.5,0.7,0.62
rcp-company-uibindings.csv,0.75,0.46,0.32,0.12,0.37,0.26,0.44,0.18,0.55,0.43,0.54,0.62,0.5,0.26,0.06,0.0,0.33
simplewebservices.csv,1.0,0.9,0.58,0.84,0.78,0.79,0.79,0.82,0.73,0.7,0.61,0.86,0.87,0.95,0.38,0.2,0.68
t-2.csv,0.5,0.96,0.61,0.36,0.91,0.16,0.37,0.06,0.8,0.34,0.93,0.54,0.53,0.71,0.03,0.9,0.25
wsmt.csv,0.25,0.04,0.29,0.08,0.22,0.36,0.0,0.0,0.02,0.2,0.12,0.41,0.17,0.0,0.04,0.5,0.59
yarp0.csv,0.56,0.52,0.26,0.48,0.54,0.36,0.29,0.94,0.45,0.61,0.41,0.51,0.9,0.63,0.68,0.3,0.24
