,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.27,0.73,0.93,0.83,0.73,0.65,0.93,0.93,0.84,1.0,0.66,0.48,0.5,0.21,0.67,0.35,0.15
arm-webradio.csv,0.54,0.53,0.15,0.83,0.28,0.38,0.64,0.24,0.85,0.67,0.42,0.22,0.66,0.32,0.37,0.75,0.2
codepurge.csv,0.27,0.58,0.12,0.13,0.1,0.33,0.0,0.33,0.09,0.33,0.29,0.85,0.25,0.77,0.17,0.34,0.69
fw4spl.csv,0.16,0.22,0.3,0.39,0.32,0.08,0.14,0.28,0.09,0.5,0.3,0.36,0.26,0.18,0.17,0.2,0.12
glas.csv,0.62,0.42,0.66,0.78,0.6,0.33,0.5,0.7,0.33,0.67,0.67,0.61,0.5,0.33,0.13,0.65,0.38
grisbi.csv,0.84,1.0,0.74,0.83,0.92,0.9,0.14,0.76,0.91,1.0,0.82,0.66,0.94,0.8,0.97,0.89,0.71
gwanted.csv,0.11,0.24,0.42,0.17,0.22,0.12,0.29,0.3,0.22,0.67,0.17,0.27,0.17,0.18,0.23,0.24,0.07
lcfizvtop.csv,0.73,0.62,0.34,0.13,0.37,0.29,0.5,0.61,0.31,0.17,0.63,0.7,0.99,0.52,0.2,0.92,0.09
ldview.csv,0.32,0.39,0.31,0.48,0.18,0.23,0.79,0.48,0.4,0.67,0.39,0.62,0.08,0.26,0.27,0.21,0.51
libmesh.csv,0.3,0.64,0.09,0.3,0.18,0.48,0.86,0.37,0.44,0.0,0.3,0.25,0.3,0.36,0.2,0.44,0.0
mediaportal.csv,0.05,0.06,0.19,0.0,0.07,0.08,0.0,0.04,0.0,0.0,0.07,0.25,0.01,0.08,0.0,0.18,0.19
olex2.csv,0.03,0.31,0.48,0.0,0.35,0.31,0.0,0.09,0.07,0.5,0.17,0.29,0.2,0.09,0.1,0.25,0.56
oppna-program-hsatools.csv,0.16,0.43,0.81,0.17,0.76,0.67,0.29,0.78,0.18,0.83,0.45,0.67,0.16,0.2,0.5,0.21,0.6
qlc.csv,0.24,0.34,0.4,0.09,0.21,0.21,0.07,0.37,0.24,0.17,0.3,0.61,0.25,0.38,0.1,0.35,0.06
somap.csv,0.97,1.0,0.92,0.74,0.85,0.98,0.43,0.91,0.73,0.0,0.99,0.97,0.96,0.97,0.87,0.79,0.99
wxcode.csv,0.05,0.14,0.54,0.04,0.32,0.25,0.07,0.2,0.07,0.0,0.18,0.33,0.02,0.05,0.1,0.08,0.52
xcf.csv,0.3,0.37,0.52,0.7,0.52,0.54,0.64,0.7,0.55,0.17,0.42,0.46,0.28,0.33,0.33,0.46,0.29
