,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.6,0.61,0.27,0.46,0.5,0.6,0.27,0.27,0.45,0.0,0.66,0.4,0.43,0.74,0.37,0.63,0.0
arm-webradio.csv,0.51,0.52,0.13,0.13,0.17,0.39,0.3,0.61,0.44,0.2,0.0,0.41,0.56,0.49,0.62,0.51,0.93
codepurge.csv,0.47,0.57,0.07,0.37,0.29,0.57,0.18,0.26,0.1,0.2,0.71,0.46,0.72,0.48,0.26,0.32,0.68
fw4spl.csv,0.22,0.52,0.53,0.55,0.21,0.31,0.57,0.22,0.1,0.4,0.17,0.45,0.53,0.28,0.32,0.31,0.59
glas.csv,0.58,0.72,0.62,0.49,0.53,0.65,0.71,0.6,0.65,0.52,0.65,0.66,0.65,0.52,0.57,0.6,0.51
grisbi.csv,0.45,0.0,0.58,0.48,0.28,0.34,0.84,0.55,0.33,0.0,0.52,0.64,0.24,0.54,0.13,0.38,0.64
gwanted.csv,0.43,0.54,0.65,0.28,0.7,0.41,0.78,0.18,0.39,0.45,0.73,0.52,0.38,0.46,0.48,0.52,0.27
lcfizvtop.csv,0.54,0.74,0.25,0.41,0.42,0.8,0.65,0.29,0.61,0.48,0.51,0.63,0.05,0.54,0.68,0.3,0.64
ldview.csv,0.78,0.67,0.76,0.42,0.17,0.4,0.53,0.62,0.58,0.35,0.79,0.68,0.2,0.54,0.56,0.41,0.78
libmesh.csv,0.37,0.49,0.0,0.17,0.17,0.61,0.27,0.77,0.33,0.1,0.0,0.16,0.24,0.38,0.22,0.31,0.0
mediaportal.csv,0.17,0.12,0.07,0.1,0.21,0.11,0.0,0.18,0.0,0.18,0.17,0.54,0.1,0.09,0.26,0.31,0.85
olex2.csv,0.0,0.39,0.59,0.56,0.67,0.31,0.56,0.1,0.06,0.45,0.61,0.55,0.25,0.24,0.26,0.71,0.49
oppna-program-hsatools.csv,0.33,0.46,0.51,0.83,0.54,0.54,0.83,0.36,0.17,0.47,0.77,0.62,0.2,0.55,0.45,0.54,0.22
qlc.csv,0.56,0.61,0.65,0.45,0.43,0.49,0.58,0.26,0.31,0.29,0.71,0.68,0.5,0.51,0.43,0.58,0.17
somap.csv,0.13,0.0,0.28,0.61,0.4,0.09,0.81,0.32,0.58,0.86,0.05,0.13,0.17,0.13,0.4,0.48,0.05
wxcode.csv,0.28,0.25,0.65,0.39,0.53,0.31,0.49,0.22,0.04,0.17,0.96,0.57,0.1,0.24,0.15,0.35,0.04
xcf.csv,0.59,0.56,0.72,0.57,0.58,0.59,0.7,0.55,0.72,0.6,0.87,0.64,0.37,0.62,0.78,0.72,0.13
