,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.78,0.8,0.15,0.22,0.83,0.86,0.36,0.2,0.0,0.0,0.14,0.6,0.58,0.53,0.57,0.55
bullet.csv,0.75,0.68,0.15,0.75,0.88,0.89,0.39,0.2,0.01,0.0,0.07,0.65,0.63,1.0,0.6,0.68
customwars.csv,0.83,0.77,0.14,0.94,0.87,0.84,0.52,0.14,0.01,0.0,0.22,0.58,0.78,0.61,0.69,0.58
dvd-create.csv,0.76,0.69,0.28,0.16,0.95,0.91,0.38,0.19,0.0,0.33,0.15,0.66,0.62,0.45,0.61,0.5
gbif-indexingtoolkit.csv,0.76,0.64,0.2,0.25,0.81,0.67,0.36,0.36,0.0,0.0,0.16,0.62,0.52,0.49,0.65,0.4
go.csv,0.76,0.83,0.33,0.12,0.8,0.83,0.43,0.2,0.0,0.0,0.18,0.65,0.64,0.5,0.83,0.52
growl-for-windows.csv,0.86,0.0,0.25,0.0,0.0,1.0,0.46,0.18,0.0,0.0,0.15,0.6,0.59,1.0,0.92,1.0
gss.csv,0.78,0.76,0.2,0.78,0.91,0.8,0.48,0.22,0.01,0.0,0.15,0.66,0.84,0.49,0.65,0.63
kwave.csv,0.81,0.64,0.42,0.25,0.8,0.79,0.35,0.18,0.0,0.27,0.14,0.63,0.67,0.49,0.58,0.42
libarchive.csv,0.74,0.78,0.25,0.54,0.87,0.8,0.41,0.17,0.0,0.22,0.15,0.62,0.6,0.49,0.7,0.64
linux-ntfs.csv,0.78,0.65,0.18,0.54,0.86,0.83,0.39,0.21,0.01,0.2,0.18,0.56,0.69,0.61,0.57,0.55
lsb.csv,0.81,0.62,0.17,0.69,0.81,0.81,0.52,0.26,0.01,0.0,0.16,0.56,0.6,0.5,0.7,0.53
mpgravity.csv,0.76,0.76,0.2,0.22,0.81,0.77,0.34,0.19,0.0,0.5,0.15,0.63,0.6,0.48,0.66,0.44
qcad2.csv,0.8,0.79,0.29,0.41,0.93,0.82,0.56,0.2,0.01,0.39,0.18,0.63,0.74,0.55,0.72,0.49
qtwin.csv,0.75,0.0,0.0,0.0,0.0,0.5,0.57,0.19,0.03,0.29,0.14,0.65,0.83,0.6,0.67,0.0
xinity.csv,0.57,0.61,0.33,0.13,0.77,0.73,0.25,0.2,0.0,0.23,0.2,0.74,0.61,0.35,0.71,0.36
