,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,tcl.csv,decidr.csv,glas.csv
chipster.csv,0.37,0.52,0.64,0.24,0.79,0.98,0.67,0.38,0.14
decidr.csv,0.56,0.5,0.38,0.34,0.7,0.49,0.09,0.99,0.5
glas.csv,0.38,0.23,0.22,0.31,0.65,0.33,0.57,0.52,0.96
hatari.csv,0.55,0.48,0.96,0.49,0.75,0.55,0.5,0.55,0.36
ltp.csv,0.25,0.31,0.39,0.44,0.99,0.15,0.09,0.2,0.14
net-snmp.csv,0.96,0.45,0.54,0.57,0.7,0.52,0.5,0.48,0.34
opde.csv,0.62,0.42,0.58,0.94,0.82,0.37,0.56,0.64,0.38
powerfolder-.csv,0.39,0.95,0.0,0.08,0.44,0.3,0.38,0.27,0.0
tcl.csv,0.27,0.14,0.27,0.27,0.22,0.22,0.96,0.07,0.19
