,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,1.0,12.0,14.0,9.0,2.0,13.0,0.0,23.0,7.0,0.0,19.0,54.0,0.0
fido.csv,0.0,204.0,121.0,63.0,387.0,0.0,1.0,636.0,62.0,61.0,59.0,183.0,161.0
fleet-simulator.csv,0.0,5.0,11.0,6.0,3.0,65.0,0.0,26.0,22.0,0.0,13.0,22.0,0.0
fluent-nhibernate.csv,0.0,6.0,6.0,8.0,22.0,106.0,1.0,5.0,3.0,2.0,59.0,0.0,4.0
galaxium.csv,0.0,6.0,0.0,0.0,7.0,106.0,0.0,5.0,62.0,0.0,0.0,15.0,0.0
itext.csv,1.0,8.0,1.0,0.0,0.0,9.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0
mecat.csv,0.0,204.0,0.0,0.0,0.0,106.0,74.0,2.0,0.0,61.0,59.0,183.0,161.0
mediaportal.csv,0.0,6.0,7.0,3.0,2.0,22.0,0.0,0.0,26.0,2.0,33.0,51.0,0.0
ninject.csv,0.0,6.0,3.0,1.0,2.0,20.0,0.0,20.0,26.0,2.0,0.0,28.0,0.0
smartgwt.csv,0.0,2.0,9.0,4.0,0.0,34.0,0.0,20.0,4.0,2.0,29.0,17.0,0.0
sqlpower-library.csv,0.0,6.0,0.0,5.0,29.0,23.0,1.0,1.0,19.0,2.0,13.0,32.0,0.0
stuproa-cims.csv,0.0,0.0,3.0,5.0,2.0,11.0,0.0,1.0,16.0,0.0,31.0,20.0,0.0
uface.csv,1.0,0.0,11.0,6.0,2.0,14.0,1.0,20.0,20.0,0.0,23.0,37.0,0.0
