,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.55,0.58,0.82,0.97,0.31,0.69,0.02,0.95,0.65,0.56,0.71,0.58,0.46
fido.csv,0.96,1.0,1.0,1.0,1.0,0.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
fleet-simulator.csv,0.67,0.77,0.5,0.8,0.38,0.94,0.65,0.73,0.93,0.0,0.48,0.48,0.25
fluent-nhibernate.csv,0.92,0.7,0.86,0.91,0.89,1.0,0.86,0.9,0.68,1.07,1.02,0.0,0.87
galaxium.csv,0.65,0.97,0.09,0.65,0.54,1.21,0.73,0.6,1.25,0.29,0.6,0.44,0.98
itext.csv,0.51,0.64,0.41,0.06,0.35,0.56,0.62,0.53,0.45,0.57,0.41,0.33,0.63
mecat.csv,0.96,1.0,0.97,0.97,0.99,1.0,1.0,0.96,0.0,1.0,1.0,1.0,1.0
mediaportal.csv,0.93,0.99,0.8,0.87,0.78,0.86,0.9,0.19,0.94,1.0,0.87,0.99,1.0
ninject.csv,0.77,0.98,0.54,0.6,0.32,0.94,0.91,0.54,1.04,1.0,0.0,0.74,0.98
smartgwt.csv,0.64,0.73,0.59,0.49,0.08,0.68,0.7,0.59,0.33,0.98,0.93,0.37,0.74
sqlpower-library.csv,0.06,0.87,0.55,0.71,0.79,0.59,0.75,0.66,0.7,0.69,0.48,0.69,0.76
stuproa-cims.csv,0.35,0.15,0.54,0.61,0.99,0.74,0.67,0.65,0.84,0.46,0.88,0.39,0.78
uface.csv,0.95,0.75,0.89,0.83,0.43,0.87,0.85,0.97,0.85,0.15,0.82,0.74,0.01
