,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.62,0.59,0.5,0.13,0.79,0.69,0.98,0.21,0.73,0.5,0.67,0.7,0.75
fido.csv,0.05,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.65,0.56,0.75,0.55,0.75,0.38,0.49,0.61,0.27,1.0,0.62,0.78,0.81
fluent-nhibernate.csv,0.11,0.45,0.26,0.35,0.13,0.0,0.19,0.12,0.38,0.27,0.0,1.0,0.17
galaxium.csv,0.63,0.25,0.93,0.4,0.51,0.0,0.54,0.47,0.0,0.83,0.45,0.63,0.23
itext.csv,0.57,0.46,0.7,0.95,0.7,0.54,0.5,0.69,0.86,0.49,0.64,0.83,0.43
mecat.csv,0.05,0.0,0.04,0.04,0.01,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0
mediaportal.csv,0.36,0.05,0.43,0.18,0.56,0.45,0.42,0.84,0.35,0.0,0.43,0.24,0.0
ninject.csv,0.59,0.09,0.55,0.46,0.75,0.24,0.36,0.59,0.09,0.0,1.0,0.61,0.17
smartgwt.csv,0.56,0.35,0.56,0.63,0.93,0.51,0.48,0.62,0.91,0.32,0.37,0.72,0.42
sqlpower-library.csv,0.99,0.43,0.71,0.65,0.52,0.67,0.52,0.64,0.68,0.6,0.62,0.63,0.52
stuproa-cims.csv,0.74,0.88,0.66,0.66,0.05,0.58,0.41,0.63,0.48,0.59,0.43,0.82,0.55
uface.csv,0.23,0.59,0.37,0.5,0.76,0.43,0.47,0.13,0.47,0.92,0.52,0.62,0.99
