,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.59,0.68,0.73,0.6,0.62,0.56,0.63,0.66,0.45,0.59,0.96,0.65,0.94,0.5,0.44,0.62
chaosrts.csv,0.61,0.55,0.58,0.88,0.71,0.51,0.46,0.45,0.38,0.47,0.57,0.43,0.47,0.73,0.48,0.35
dxengine.csv,0.57,0.5,0.47,0.57,0.58,0.75,0.88,0.93,0.83,0.92,0.69,0.8,0.59,0.75,0.5,0.86
e-bio-flow.csv,0.73,0.63,0.92,0.49,0.65,0.4,0.46,0.45,0.48,0.44,0.62,0.6,0.44,0.0,0.68,0.42
jbpm.csv,0.86,0.9,0.0,0.67,0.86,0.0,0.78,0.8,0.83,0.91,0.0,0.88,0.0,0.0,0.62,0.67
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0
jmoney.csv,0.43,0.42,0.36,0.35,0.45,0.36,0.4,0.46,0.35,0.33,0.39,0.47,0.39,0.58,0.4,0.37
jmonkeyengine.csv,0.63,0.51,0.43,0.79,0.58,0.74,0.59,0.59,0.57,0.5,0.46,0.79,0.47,0.59,0.69,0.54
joustsim.csv,0.61,0.49,0.44,0.72,0.42,0.64,0.5,0.58,0.36,0.5,0.49,0.71,0.41,0.65,0.95,0.88
jsidplay2.csv,0.52,0.86,0.77,0.42,0.76,0.41,0.59,0.76,0.4,0.61,0.86,0.53,0.7,0.56,0.45,0.36
log4net.csv,0.53,0.42,0.92,0.73,0.91,0.57,0.72,0.95,0.75,0.5,0.94,0.38,0.94,0.0,0.46,0.43
piccolo2d.csv,0.56,0.37,0.69,0.52,0.45,0.46,0.54,0.65,0.62,0.44,0.51,0.45,0.88,0.0,0.36,0.5
reaper3d.csv,0.49,0.56,0.44,0.45,0.55,0.75,0.54,0.69,0.87,0.57,0.54,0.9,0.51,0.75,0.95,0.67
sblim.csv,0.37,0.88,0.84,0.75,0.51,0.47,0.74,0.71,0.71,0.67,0.5,0.6,0.91,0.89,0.5,0.43
thedata.csv,0.42,0.47,0.43,0.44,0.54,0.47,0.54,0.53,0.59,0.48,0.42,0.64,0.36,0.68,0.44,0.89
tmva.csv,0.45,0.42,0.49,0.43,0.55,0.39,0.42,0.47,0.35,0.42,0.5,0.48,0.42,0.44,0.38,0.33
