,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.63,0.53,0.66,0.87,0.87,0.69,0.74,0.51,0.89,0.76,0.9,0.85,0.89,1.19,0.91,0.6
chaosrts.csv,0.76,0.74,0.82,0.77,0.85,0.64,0.53,0.51,0.63,0.66,0.49,0.61,0.69,1.01,0.27,0.95
dxengine.csv,0.57,1.0,0.46,0.81,0.37,1.0,0.96,1.01,0.95,0.95,0.83,1.0,0.57,1.0,0.99,1.03
e-bio-flow.csv,0.9,0.92,0.91,0.52,0.81,0.61,0.73,0.57,0.65,0.38,0.63,0.57,0.64,1.0,0.81,0.85
jbpm.csv,0.86,0.95,0.96,0.95,0.91,1.0,0.28,1.0,0.84,0.84,1.0,0.92,1.0,1.0,0.81,0.75
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0,1.0
jmoney.csv,0.21,0.7,0.61,0.43,0.89,0.68,0.69,0.75,0.6,0.82,0.72,0.8,0.56,1.02,0.49,0.96
jmonkeyengine.csv,1.02,0.86,0.79,1.02,0.59,0.86,0.59,1.0,0.51,0.77,1.01,0.94,0.74,0.82,0.71,0.97
joustsim.csv,0.7,0.74,0.73,0.82,0.74,0.74,0.41,0.75,0.59,0.75,0.89,0.2,0.85,0.53,0.86,0.19
jsidplay2.csv,0.54,0.88,0.83,0.37,0.89,0.77,0.65,0.7,0.83,0.67,0.62,0.77,0.92,1.07,0.81,0.94
log4net.csv,0.38,0.64,0.79,0.76,0.78,0.54,0.76,0.12,1.0,0.67,0.87,0.41,0.64,1.0,0.71,0.88
piccolo2d.csv,0.47,0.76,0.72,0.66,0.47,0.29,0.57,0.38,0.7,0.53,0.7,0.69,0.88,1.0,0.65,0.81
reaper3d.csv,0.59,0.86,0.46,0.61,0.44,0.9,0.93,0.76,0.93,0.66,0.79,0.74,0.38,1.01,0.92,0.75
sblim.csv,0.44,0.94,0.74,0.75,0.24,0.39,0.47,1.01,0.76,0.68,0.66,0.66,0.88,1.01,0.8,0.87
thedata.csv,0.74,0.83,0.57,0.66,0.69,0.88,0.99,0.92,0.7,0.83,0.71,0.76,0.71,1.09,0.94,0.08
tmva.csv,0.8,0.73,0.71,0.88,1.09,0.88,0.93,0.72,0.8,0.89,0.36,0.98,0.6,1.21,0.89,0.87
