,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.17,0.56,0.31,0.2,0.71,0.41,0.35,0.37,0.0,0.61,0.02
elateportal.csv,0.67,0.26,0.46,0.47,0.64,0.41,0.6,0.26,0.99,0.64,0.95
etics.csv,0.33,0.18,0.69,0.38,0.43,0.09,0.13,0.31,0.04,0.25,0.05
lockss.csv,0.33,0.69,0.62,0.58,0.57,0.55,0.65,0.69,0.64,0.92,0.66
pcgen.csv,1.0,1.0,0.92,0.69,1.0,0.36,0.98,0.36,1.0,0.97,1.0
personalaccess.csv,0.25,0.54,0.54,0.8,0.43,0.64,0.4,0.79,0.48,0.89,0.34
pydev.csv,0.42,0.67,0.62,0.38,0.71,0.41,0.56,0.46,0.01,0.75,0.07
rhex.csv,0.92,0.49,0.0,0.4,0.21,0.82,0.15,0.43,0.7,0.64,0.07
stuproa-cims.csv,0.17,0.15,0.15,0.71,0.57,0.5,0.53,0.29,0.68,0.64,0.07
uclmda.csv,0.17,0.05,0.0,0.07,0.0,0.0,0.02,0.07,0.99,0.03,0.05
wgs-assembler.csv,0.58,0.56,0.46,0.75,0.79,0.86,0.42,0.76,0.45,0.97,0.07
