,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.2,0.54,0.35,0.23,0.72,0.44,0.37,0.41,0.0,0.58,0.02
elateportal.csv,0.61,0.3,0.43,0.5,0.48,0.45,0.59,0.3,0.0,0.34,0.96
etics.csv,0.38,0.21,0.7,0.43,0.46,0.11,0.16,0.36,0.05,0.29,0.06
lockss.csv,0.37,0.64,0.61,0.61,0.57,0.57,0.53,0.7,0.65,0.42,0.69
pcgen.csv,0.27,0.0,0.0,0.71,0.0,0.4,0.0,0.41,0.0,0.0,0.0
personalaccess.csv,0.29,0.56,0.58,0.74,0.48,0.63,0.43,0.75,0.44,0.48,0.39
pydev.csv,0.47,0.58,0.65,0.43,0.68,0.44,0.51,0.5,0.01,0.74,0.09
rhex.csv,0.88,0.52,0.0,0.45,0.24,0.54,0.18,0.45,0.72,0.6,0.08
stuproa-cims.csv,0.2,0.18,0.18,0.7,0.56,0.53,0.57,0.34,0.68,0.57,0.09
uclmda.csv,0.2,0.06,0.0,0.09,0.0,0.0,0.02,0.09,0.99,0.04,0.06
wgs-assembler.csv,0.58,0.57,0.49,0.7,0.7,0.53,0.45,0.66,0.46,0.44,0.09
