,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.0,0.0,0.9,0.0,0.89,0.57,0.88,0.99,0.89,0.8,0.89,0.86,0.88,0.9,0.89,0.0,0.83
codeblocks.csv,0.55,0.44,0.89,0.55,0.45,0.43,0.38,0.5,0.51,0.38,0.36,0.48,0.47,0.0,0.43,0.42,0.88
grisbi.csv,0.36,0.41,0.34,0.31,0.39,0.34,0.31,0.42,0.39,0.34,0.34,0.43,0.44,0.33,0.35,0.37,0.45
libmesh.csv,0.61,0.92,0.95,0.93,0.93,0.7,0.62,0.77,0.85,0.85,0.95,0.68,0.95,0.68,0.94,0.78,0.99
panda3d.csv,0.67,0.83,0.91,0.94,0.93,0.5,0.5,0.98,0.82,0.52,0.74,0.81,0.7,0.89,0.86,0.55,0.93
proftp.csv,0.48,0.55,0.46,0.48,0.52,0.46,0.58,0.54,0.47,0.75,0.62,0.43,0.69,0.47,0.41,0.45,0.78
red5.csv,0.47,0.97,0.52,0.44,0.92,0.89,0.8,0.5,0.96,0.93,0.81,0.92,0.83,0.86,0.56,0.93,0.68
skia.csv,0.6,0.9,0.45,0.46,0.75,0.65,0.92,0.59,0.89,0.94,0.9,0.71,0.92,0.5,0.61,0.59,0.71
soar.csv,0.42,0.43,0.49,0.39,0.49,0.67,0.48,0.62,0.57,0.4,0.39,0.45,0.49,0.52,0.44,0.59,0.56
super-tux.csv,0.38,0.39,0.37,0.33,0.43,0.41,0.35,0.4,0.49,0.36,0.34,0.43,0.44,0.0,0.36,0.45,0.41
t-2.csv,0.66,0.88,0.73,0.67,0.62,0.93,0.41,0.99,0.65,0.83,0.61,0.64,0.77,0.5,0.77,0.99,0.62
tart.csv,0.83,0.91,0.94,0.5,0.86,0.64,0.9,0.77,0.5,0.0,0.75,0.5,0.91,0.37,0.5,0.83,0.98
tcvp.csv,0.89,0.6,0.72,0.68,0.89,0.89,0.8,0.97,0.86,0.86,0.93,0.64,0.91,0.46,0.71,0.79,0.73
tencompetence.csv,0.57,0.7,0.75,0.6,0.73,0.92,0.74,0.68,0.7,0.89,0.93,0.64,0.82,0.4,0.92,0.83,0.63
utgb.csv,0.76,0.81,0.56,0.74,0.83,0.86,0.86,0.97,0.0,0.0,0.67,0.93,0.82,0.47,0.73,0.66,0.7
xbrlapi.csv,0.56,0.58,0.76,0.59,0.97,0.71,0.43,0.71,0.65,0.81,0.85,0.76,0.95,0.46,0.83,0.97,0.8
zemljanka.csv,0.36,0.39,0.38,0.3,0.44,0.4,0.35,0.44,0.49,0.36,0.37,0.44,0.43,0.34,0.37,0.45,0.46
