,g-score
qgis.csv,0.42
migen.csv,0.49
jsecurity.csv,0.27
jnode.csv,0.35
jhotdraw.csv,0.54
sidekar.csv,0.15
emeraldemu.csv,0.63
emisview.csv,0.3
autoopencas.csv,0.33
mcmc-jags.csv,0.09
cataclysmos.csv,0.95
fontforge.csv,0.29
badtrinity-zero.csv,0.35
cleartk.csv,0.2
delphilhlplib.csv,0.23
mcore3d.csv,0.45
applet2app.csv,0.56
upp-mirror.csv,0.2
magicwars.csv,0.41
xbplayer.csv,0.49
zildo.csv,0.46
jython.csv,0.6
ildjit.csv,0.35
gbif-providertoolkit.csv,0.34
jfreereport.csv,0.68
opennms.csv,0.21
yield.csv,0.2
trackit.csv,0.09
scen-connect.csv,0.0
freelords.csv,0.46
piccolo2d.csv,0.8
bochs.csv,0.45
intact.csv,0.12
htmlunit.csv,0.68
open-beos.csv,0.5
libopenmetaverse.csv,0.4
popeye-chess.csv,0.66
jbpm.csv,0.18
cities3d.csv,0.68
springside.csv,0.26
k3d.csv,0.37
kvs.csv,0.24
firebreath.csv,0.52
fltk.csv,0.45
bullet.csv,0.32
mobicents.csv,0.4
maya-work-in-progress.csv,0.33
betoffice.csv,0.16
scite-ru.csv,0.23
ifmo-game-1.csv,0.33
qcad2.csv,0.6
xmemcached.csv,0.44
ldview.csv,0.28
rohxel.csv,0.04
jpaul.csv,0.63
pfaedit.csv,0.53
gbif-indexingtoolkit.csv,0.49
levent.csv,0.47
neodatis-odb.csv,0.42
pidgin.csv,0.71
swtfox.csv,0.46
aime.csv,0.65
mvdsv.csv,0.65
japano.csv,0.4
jitterbit.csv,0.4
encog-cs.csv,0.61
red5.csv,0.23
co-ode-owl-plugins.csv,0.25
exordium.csv,0.57
cornerstone.csv,0.6
