,f1
qgis.csv,0.51
migen.csv,0.55
jsecurity.csv,0.23
jnode.csv,0.07
jhotdraw.csv,0.34
sidekar.csv,0.22
emeraldemu.csv,0.61
emisview.csv,0.32
autoopencas.csv,0.22
mcmc-jags.csv,0.11
cataclysmos.csv,0.15
fontforge.csv,0.34
badtrinity-zero.csv,0.42
cleartk.csv,0.3
delphilhlplib.csv,0.31
mcore3d.csv,0.55
applet2app.csv,0.51
upp-mirror.csv,0.27
magicwars.csv,0.41
xbplayer.csv,0.46
zildo.csv,0.54
jython.csv,0.52
ildjit.csv,0.24
gbif-providertoolkit.csv,0.33
jfreereport.csv,0.3
opennms.csv,0.22
yield.csv,0.29
trackit.csv,0.13
scen-connect.csv,0.0
freelords.csv,0.55
piccolo2d.csv,0.38
bochs.csv,0.49
intact.csv,0.15
htmlunit.csv,0.56
open-beos.csv,0.53
libopenmetaverse.csv,0.44
popeye-chess.csv,0.68
jbpm.csv,0.11
cities3d.csv,0.26
springside.csv,0.3
k3d.csv,0.25
kvs.csv,0.24
firebreath.csv,0.52
fltk.csv,0.53
bullet.csv,0.42
mobicents.csv,0.46
maya-work-in-progress.csv,0.43
betoffice.csv,0.21
scite-ru.csv,0.3
ifmo-game-1.csv,0.13
qcad2.csv,0.59
xmemcached.csv,0.49
ldview.csv,0.34
rohxel.csv,0.05
jpaul.csv,0.62
pfaedit.csv,0.63
gbif-indexingtoolkit.csv,0.34
levent.csv,0.55
neodatis-odb.csv,0.38
pidgin.csv,0.77
swtfox.csv,0.4
aime.csv,0.42
mvdsv.csv,0.22
japano.csv,0.55
jitterbit.csv,0.48
encog-cs.csv,0.5
red5.csv,0.31
co-ode-owl-plugins.csv,0.14
exordium.csv,0.49
cornerstone.csv,0.61
