,recall
qgis.csv,0.37
migen.csv,0.44
jsecurity.csv,0.23
jnode.csv,0.31
jhotdraw.csv,0.52
sidekar.csv,0.12
emeraldemu.csv,0.59
emisview.csv,0.26
autoopencas.csv,0.3
mcmc-jags.csv,0.07
cataclysmos.csv,1.0
fontforge.csv,0.25
badtrinity-zero.csv,0.3
cleartk.csv,0.17
delphilhlplib.csv,0.19
mcore3d.csv,0.4
applet2app.csv,0.54
upp-mirror.csv,0.17
magicwars.csv,0.36
xbplayer.csv,0.45
zildo.csv,0.41
jython.csv,0.55
ildjit.csv,0.31
gbif-providertoolkit.csv,0.29
jfreereport.csv,0.72
opennms.csv,0.18
yield.csv,0.17
trackit.csv,0.07
scen-connect.csv,0.0
freelords.csv,0.42
piccolo2d.csv,0.92
bochs.csv,0.4
intact.csv,0.1
htmlunit.csv,0.68
open-beos.csv,0.46
libopenmetaverse.csv,0.36
popeye-chess.csv,0.63
jbpm.csv,0.15
cities3d.csv,0.68
springside.csv,0.22
k3d.csv,0.33
kvs.csv,0.2
firebreath.csv,0.48
fltk.csv,0.4
bullet.csv,0.28
mobicents.csv,0.35
maya-work-in-progress.csv,0.28
betoffice.csv,0.13
scite-ru.csv,0.19
ifmo-game-1.csv,0.29
qcad2.csv,0.56
xmemcached.csv,0.39
ldview.csv,0.24
rohxel.csv,0.03
jpaul.csv,0.59
pfaedit.csv,0.48
gbif-indexingtoolkit.csv,0.45
levent.csv,0.43
neodatis-odb.csv,0.38
pidgin.csv,0.71
swtfox.csv,0.45
aime.csv,0.64
mvdsv.csv,0.67
japano.csv,0.39
jitterbit.csv,0.35
encog-cs.csv,0.67
red5.csv,0.19
co-ode-owl-plugins.csv,0.22
exordium.csv,0.53
cornerstone.csv,0.67
