,precision
qgis.csv,0.82
migen.csv,0.71
jsecurity.csv,0.24
jnode.csv,0.04
jhotdraw.csv,0.26
sidekar.csv,1.0
emeraldemu.csv,0.63
emisview.csv,0.43
autoopencas.csv,0.17
mcmc-jags.csv,0.33
cataclysmos.csv,0.08
fontforge.csv,0.55
badtrinity-zero.csv,0.71
cleartk.csv,0.95
delphilhlplib.csv,0.91
mcore3d.csv,0.88
applet2app.csv,0.49
upp-mirror.csv,0.65
magicwars.csv,0.48
xbplayer.csv,0.48
zildo.csv,0.78
jython.csv,0.5
ildjit.csv,0.2
gbif-providertoolkit.csv,0.4
jfreereport.csv,0.19
opennms.csv,0.28
yield.csv,0.85
trackit.csv,0.6
scen-connect.csv,0.0
freelords.csv,0.8
piccolo2d.csv,0.24
bochs.csv,0.62
intact.csv,0.33
htmlunit.csv,0.48
open-beos.csv,0.63
libopenmetaverse.csv,0.57
popeye-chess.csv,0.73
jbpm.csv,0.09
cities3d.csv,0.16
springside.csv,0.46
k3d.csv,0.2
kvs.csv,0.31
firebreath.csv,0.56
fltk.csv,0.77
bullet.csv,0.83
mobicents.csv,0.69
maya-work-in-progress.csv,0.9
betoffice.csv,0.46
scite-ru.csv,0.67
ifmo-game-1.csv,0.08
qcad2.csv,0.63
xmemcached.csv,0.64
ldview.csv,0.62
rohxel.csv,1.0
jpaul.csv,0.67
pfaedit.csv,0.9
gbif-indexingtoolkit.csv,0.28
levent.csv,0.78
neodatis-odb.csv,0.39
pidgin.csv,0.86
swtfox.csv,0.35
aime.csv,0.31
mvdsv.csv,0.13
japano.csv,0.91
jitterbit.csv,0.76
encog-cs.csv,0.4
red5.csv,0.89
co-ode-owl-plugins.csv,0.11
exordium.csv,0.45
cornerstone.csv,0.55
