,pf
qgis.csv,0.08
migen.csv,0.14
jsecurity.csv,0.17
jnode.csv,0.3
jhotdraw.csv,0.33
sidekar.csv,0.0
emeraldemu.csv,0.15
emisview.csv,0.15
autoopencas.csv,0.51
mcmc-jags.csv,0.05
cataclysmos.csv,0.21
fontforge.csv,0.16
badtrinity-zero.csv,0.12
cleartk.csv,0.07
delphilhlplib.csv,0.06
mcore3d.csv,0.12
applet2app.csv,0.31
upp-mirror.csv,0.15
magicwars.csv,0.18
xbplayer.csv,0.23
zildo.csv,0.11
jython.csv,0.08
ildjit.csv,0.37
gbif-providertoolkit.csv,0.09
jfreereport.csv,0.46
opennms.csv,0.17
yield.csv,0.03
trackit.csv,0.09
scen-connect.csv,0.21
freelords.csv,0.29
piccolo2d.csv,0.48
bochs.csv,0.17
intact.csv,0.08
htmlunit.csv,0.34
open-beos.csv,0.18
libopenmetaverse.csv,0.29
popeye-chess.csv,0.18
jbpm.csv,0.21
cities3d.csv,0.33
springside.csv,0.14
k3d.csv,0.23
kvs.csv,0.12
firebreath.csv,0.24
fltk.csv,0.16
bullet.csv,0.19
mobicents.csv,0.16
maya-work-in-progress.csv,0.02
betoffice.csv,0.16
scite-ru.csv,0.04
ifmo-game-1.csv,0.29
qcad2.csv,0.16
xmemcached.csv,0.08
ldview.csv,0.08
rohxel.csv,0.0
jpaul.csv,0.12
pfaedit.csv,0.09
gbif-indexingtoolkit.csv,0.26
levent.csv,0.26
neodatis-odb.csv,0.31
pidgin.csv,0.3
swtfox.csv,0.51
aime.csv,0.29
mvdsv.csv,0.43
japano.csv,0.56
jitterbit.csv,0.04
encog-cs.csv,0.56
red5.csv,0.03
co-ode-owl-plugins.csv,0.37
exordium.csv,0.21
cornerstone.csv,0.57
