,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.39,0.54,0.6,0.39,0.44,0.56,0.56,0.45,0.4,0.54,0.44,0.86,0.45,0.35,0.42,0.51,0.72,0.43,0.39,0.41
encog-cs.csv,0.35,0.52,0.62,0.44,0.35,0.34,0.38,0.52,0.46,0.38,0.46,0.33,0.36,0.47,0.53,0.47,0.37,0.59,0.41,0.47
extprosys.csv,0.42,0.42,0.55,0.38,0.38,0.44,0.72,0.47,0.37,0.38,0.5,0.32,0.42,0.38,0.39,0.46,0.39,0.46,0.56,0.4
freewrl.csv,0.3,0.39,0.48,0.36,0.4,0.43,0.38,0.4,0.55,0.39,0.39,0.36,0.39,0.48,0.39,0.42,0.67,0.39,0.5,0.57
fulguro.csv,0.36,0.44,0.62,0.48,0.49,0.36,0.53,0.6,0.72,0.5,0.47,0.33,0.98,0.34,0.71,0.57,0.41,0.98,0.3,0.7
geotools.csv,0.4,0.42,0.5,0.38,0.36,0.34,0.38,0.39,0.34,0.38,0.38,0.75,0.36,0.53,0.38,0.4,0.93,0.46,0.29,0.4
ibatisdb.csv,0.91,0.56,0.71,0.66,0.5,0.6,0.8,0.61,0.64,0.41,0.67,0.8,0.81,0.6,0.85,0.58,0.0,0.95,0.56,0.9
intact.csv,0.47,0.42,0.67,0.41,0.42,0.6,0.82,0.46,0.46,0.67,0.5,0.5,0.7,0.39,0.38,0.49,0.8,0.4,0.56,0.96
japano.csv,0.4,0.46,0.57,0.39,0.42,0.4,0.38,0.52,0.36,0.54,0.46,0.33,0.44,0.36,0.43,0.5,0.49,0.54,0.45,0.51
miranda-icq.csv,0.62,0.44,0.6,0.51,0.44,0.62,0.75,0.42,0.38,0.56,0.67,0.8,0.41,0.42,0.42,0.54,0.8,0.42,0.6,0.39
ofbiz.csv,0.4,0.48,0.52,0.41,0.59,0.4,0.45,0.46,0.53,0.4,0.56,0.0,0.44,0.6,0.46,0.51,0.75,0.42,0.39,0.84
opennms.csv,0.52,0.5,0.75,0.9,0.64,0.88,0.44,0.86,0.97,0.95,0.68,0.5,0.92,0.42,0.57,0.93,0.0,0.74,0.0,0.86
papertoolkit.csv,0.43,0.86,0.95,0.81,0.93,0.92,0.88,0.88,0.83,0.93,0.62,0.86,0.78,0.73,0.71,0.92,0.45,0.8,0.86,0.67
rohxel.csv,0.57,0.5,0.54,0.59,0.7,0.68,0.48,0.54,0.95,0.61,0.64,0.45,0.43,0.83,0.9,0.59,0.36,0.89,0.0,0.48
roolo.csv,0.41,0.5,0.54,0.51,0.43,0.43,0.65,0.74,0.55,0.47,0.82,0.36,0.42,0.49,0.49,0.57,0.42,0.5,0.45,0.45
sevenupdate.csv,0.3,0.58,0.47,0.35,0.37,0.33,0.36,0.47,0.36,0.39,0.4,0.33,0.38,0.4,0.38,0.42,0.36,0.44,0.32,0.41
soar.csv,0.42,0.5,0.47,0.42,0.38,0.35,0.39,0.5,0.45,0.39,0.43,0.88,0.39,0.36,0.45,0.43,0.67,0.44,0.32,0.41
web-cat.csv,0.45,0.91,0.61,0.49,0.45,0.51,0.59,0.72,0.39,0.68,0.68,0.33,0.39,0.54,0.46,0.57,0.38,0.53,0.55,0.44
