,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,1.0,0.71,0.51,0.84,0.5,0.5,0.51,0.7,0.8,0.75,0.9,0.11,0.82,0.33,0.63,0.53,0.42,0.71,0.47,0.82
encog-cs.csv,1.0,0.53,0.53,0.71,0.89,0.93,0.92,0.9,0.65,0.88,0.7,0.96,0.68,0.67,0.62,0.83,0.97,0.42,0.79,0.82
extprosys.csv,1.0,0.8,0.7,0.9,0.93,0.6,0.33,0.6,0.91,0.92,0.65,1.0,0.5,0.67,0.92,0.89,0.74,0.84,0.47,0.55
freewrl.csv,1.0,0.59,1.0,0.72,0.68,0.6,0.97,0.61,0.52,0.77,0.55,0.78,0.68,1.0,0.79,0.89,0.19,0.72,0.47,0.64
fulguro.csv,1.0,0.82,0.57,0.65,0.61,0.87,0.41,0.66,0.32,0.0,0.8,0.93,0.31,1.0,0.39,0.39,0.68,0.15,0.84,0.64
geotools.csv,0.0,0.8,0.7,0.51,0.75,0.87,0.77,0.66,0.97,0.98,0.55,0.22,0.7,0.0,0.81,0.92,0.32,0.56,0.79,0.82
ibatisdb.csv,0.0,0.29,0.25,0.26,0.43,0.4,0.23,0.26,0.39,0.6,0.1,0.11,0.21,0.33,0.2,0.83,0.03,0.14,0.42,0.0
intact.csv,0.0,0.71,0.45,0.64,0.71,0.6,0.21,0.41,0.74,0.02,0.35,0.07,0.43,0.67,0.89,0.56,0.03,0.75,0.32,0.45
japano.csv,0.0,0.9,0.83,0.84,0.79,0.83,0.95,0.74,0.94,0.46,0.9,1.0,0.68,1.0,0.81,0.75,0.61,0.69,0.74,0.82
miranda-icq.csv,0.0,0.8,0.55,0.51,0.71,0.5,0.1,0.4,0.88,0.58,0.35,0.15,0.68,0.67,0.64,0.44,0.06,0.71,0.21,0.64
ofbiz.csv,0.0,0.78,0.89,0.59,0.39,0.67,0.44,0.42,0.64,0.9,0.4,0.04,0.6,0.67,0.76,0.42,0.0,0.76,0.68,0.45
opennms.csv,1.0,0.33,0.04,0.1,0.68,0.13,0.56,0.06,0.21,0.08,0.4,0.41,0.06,0.33,0.44,0.11,0.03,0.39,0.0,0.09
papertoolkit.csv,0.0,0.14,0.15,0.22,0.14,0.2,0.15,0.18,0.27,0.04,0.4,0.11,0.2,1.0,0.27,0.11,0.35,0.19,0.11,0.09
rohxel.csv,1.0,0.43,0.68,0.34,0.32,0.37,0.72,0.47,0.21,0.25,0.45,0.52,0.48,0.0,0.18,0.61,0.45,0.29,0.0,0.64
roolo.csv,0.0,0.69,0.92,0.67,0.82,0.7,0.33,0.31,0.55,0.73,0.7,0.85,0.71,0.67,0.72,0.33,0.87,0.82,0.68,0.82
sevenupdate.csv,1.0,0.76,1.0,1.0,0.86,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.92,1.0,0.95,1.0,1.0,0.89,1.0,0.91
soar.csv,1.0,0.63,1.0,0.66,0.71,0.93,0.85,0.92,0.68,1.0,0.8,0.22,1.0,1.0,0.67,0.97,0.65,0.86,0.84,1.0
web-cat.csv,0.0,0.22,0.53,0.65,0.57,0.67,0.56,0.44,0.8,0.27,0.3,1.0,0.74,0.67,0.76,0.89,0.94,0.6,0.74,1.0
