,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.61,0.67,0.45,0.14,0.58,0.33,0.45,0.89,0.79,0.54,0.68,0.17,1.0,0.78,0.63,0.62,0.2,0.66,0.61,0.9
encog-cs.csv,0.85,0.5,0.46,0.86,0.96,0.99,1.0,1.0,0.33,0.81,0.86,0.96,0.0,0.68,0.64,0.84,0.96,0.55,0.71,0.65
extprosys.csv,0.67,1.0,0.27,0.64,0.87,0.71,0.45,0.89,0.94,0.96,0.51,0.96,1.0,0.83,0.89,0.69,0.84,0.68,0.58,0.56
freewrl.csv,0.93,0.67,0.93,0.71,0.57,0.59,0.91,0.67,0.28,0.75,0.81,0.29,1.0,0.47,0.52,0.55,0.36,0.51,0.35,0.65
fulguro.csv,0.83,0.83,0.75,0.71,0.66,0.93,0.27,0.89,0.43,0.01,0.73,0.83,1.0,0.97,0.52,0.7,0.64,0.21,0.87,0.29
geotools.csv,0.67,1.0,0.44,0.36,0.62,0.84,0.64,0.56,0.8,0.91,0.84,0.25,0.0,0.32,0.6,0.7,0.16,0.3,0.74,0.8
ibatisdb.csv,0.11,0.33,0.21,0.36,0.36,0.32,0.09,0.33,0.28,0.58,0.27,0.08,0.0,0.23,0.13,0.22,0.0,0.15,0.26,0.13
intact.csv,0.53,0.83,0.54,0.5,0.61,0.33,0.27,0.33,0.41,0.01,0.41,0.0,1.0,0.52,0.73,0.49,0.16,0.57,0.32,0.27
japano.csv,0.78,1.0,0.69,0.93,0.7,0.78,1.0,0.22,0.92,0.53,0.86,1.0,0.0,0.92,0.88,0.78,0.72,0.76,0.61,0.63
miranda-icq.csv,0.36,0.67,0.4,0.14,0.57,0.34,0.0,0.56,0.87,0.33,0.3,0.25,1.0,0.52,0.56,0.3,0.32,0.53,0.35,0.49
ofbiz.csv,0.67,0.67,0.86,0.57,0.52,0.73,0.45,0.22,0.45,0.89,0.27,0.0,0.0,0.3,0.35,0.5,0.16,0.56,0.65,0.34
opennms.csv,0.47,0.67,0.01,0.0,0.22,0.05,0.45,0.0,0.16,0.11,0.3,0.46,0.0,0.38,0.38,0.1,0.0,0.26,0.0,0.08
papertoolkit.csv,0.59,0.0,0.1,0.29,0.14,0.1,0.18,0.22,0.14,0.09,0.35,0.17,0.0,0.2,0.19,0.08,0.44,0.23,0.16,0.03
rohxel.csv,0.43,0.5,0.53,0.14,0.31,0.27,0.45,0.22,0.04,0.29,0.35,0.33,0.0,0.1,0.24,0.39,0.76,0.22,0.0,0.68
roolo.csv,0.75,0.67,0.8,0.64,0.79,0.79,0.36,0.44,0.63,0.61,0.22,0.92,0.0,0.65,0.74,0.73,0.84,0.79,0.65,0.81
sevenupdate.csv,1.0,0.17,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.95,1.0,1.0,0.95,1.0,0.87
soar.csv,0.63,0.83,1.0,0.57,0.84,0.95,0.73,1.0,0.81,1.0,0.89,0.42,1.0,0.92,0.82,0.9,0.28,0.89,1.0,1.0
web-cat.csv,0.62,0.0,0.49,0.71,0.69,0.51,0.45,0.56,0.84,0.24,0.51,1.0,1.0,0.55,0.6,0.58,0.96,0.56,0.19,0.92
