,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.51,0.55,0.52,0.62,0.58,0.41,0.49,0.4,0.57,0.56,1.0,0.63
blue-c.csv,0.7,0.55,0.59,0.29,0.67,0.76,0.71,0.92,0.62,0.56,0.62,0.62
cities3d.csv,0.4,0.49,0.35,0.15,0.16,0.04,0.96,0.0,0.49,0.14,0.54,0.45
dynalloy.csv,0.57,0.97,0.44,0.42,0.63,0.68,0.64,0.31,0.58,0.35,0.28,0.48
firebird.csv,0.27,0.47,0.99,0.41,0.65,0.69,0.39,0.45,0.28,0.47,0.17,0.4
hydrogen.csv,0.57,0.16,0.54,0.54,0.17,0.3,0.63,0.2,0.95,0.09,0.26,0.44
nosleepsoftware.csv,0.53,0.15,0.56,1.0,0.19,0.35,0.66,0.33,0.55,0.17,0.44,0.47
openmalaria.csv,0.68,0.6,0.61,0.62,0.59,0.59,0.61,0.69,0.68,0.94,0.25,0.63
popeye-chess.csv,0.69,0.53,0.59,0.59,0.34,0.91,0.72,0.55,0.63,0.64,0.53,0.6
qgo.csv,0.97,0.37,0.48,0.49,0.2,0.39,0.7,0.32,0.7,0.23,0.38,0.44
xmoto.csv,0.57,0.27,0.52,0.22,0.44,0.61,0.65,0.42,0.76,0.17,0.51,0.97
yield.csv,0.67,0.66,0.57,0.54,0.98,0.64,0.6,0.67,0.77,0.73,0.34,0.58
