,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.57,0.49,0.8,0.72,0.63,0.86,0.8,0.88,0.78,0.71,0.0,0.66
blue-c.csv,0.4,0.48,0.42,0.34,0.49,0.36,0.57,0.0,0.56,0.22,0.37,0.32
cities3d.csv,0.86,0.82,0.21,0.04,0.12,0.11,0.0,0.0,0.09,0.24,0.73,0.48
dynalloy.csv,0.51,0.0,0.26,0.3,0.35,0.25,0.25,0.08,0.3,0.18,0.1,0.23
firebird.csv,0.23,0.32,0.01,0.4,0.34,0.45,0.2,0.16,0.51,0.31,0.27,0.2
hydrogen.csv,0.17,0.27,0.47,0.17,0.03,0.02,0.18,0.04,0.0,0.02,0.63,0.07
nosleepsoftware.csv,0.31,0.34,0.39,0.0,0.07,0.16,0.27,0.48,0.05,0.1,0.5,0.11
openmalaria.csv,0.57,0.7,0.41,0.4,0.24,0.07,0.67,0.24,0.34,0.0,0.93,0.27
popeye-chess.csv,0.34,0.45,0.4,0.28,0.07,0.0,0.54,0.36,0.33,0.27,0.67,0.27
qgo.csv,0.03,0.19,0.22,0.04,0.03,0.02,0.23,0.0,0.28,0.04,0.63,0.11
xmoto.csv,0.17,0.32,0.28,0.17,0.22,0.11,0.23,0.12,0.19,0.12,0.33,0.02
yield.csv,0.49,0.52,0.53,0.51,0.0,0.14,0.74,0.12,0.55,0.37,0.87,0.34
