,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.44,0.39,0.53,0.29,0.49,0.42,0.08,0.56,0.16,0.46,1.0,0.5
blue-c.csv,0.61,0.4,0.6,0.2,0.58,0.64,0.12,1.0,0.16,0.67,0.54,0.61
cities3d.csv,0.42,0.38,0.62,0.5,0.5,0.17,1.0,0.0,0.44,0.29,0.41,0.43
dynalloy.csv,0.5,1.0,0.63,0.3,0.62,0.68,0.19,0.8,0.23,0.59,0.62,0.62
firebird.csv,0.47,0.44,0.99,0.24,0.64,0.57,0.14,0.75,0.07,0.53,0.27,0.59
hydrogen.csv,0.73,0.22,0.56,0.5,0.82,0.9,0.24,0.83,1.0,0.75,0.21,0.82
nosleepsoftware.csv,0.58,0.18,0.61,1.0,0.67,0.61,0.19,0.43,0.62,0.55,0.38,0.75
openmalaria.csv,0.55,0.39,0.62,0.34,0.69,0.86,0.1,0.77,0.24,1.0,0.33,0.65
popeye-chess.csv,0.64,0.4,0.62,0.41,0.78,1.0,0.13,0.64,0.23,0.65,0.39,0.64
qgo.csv,0.97,0.5,0.69,0.78,0.85,0.92,0.21,1.0,0.28,0.8,0.3,0.74
xmoto.csv,0.73,0.29,0.65,0.27,0.62,0.8,0.2,0.79,0.39,0.5,0.5,0.97
yield.csv,0.56,0.45,0.55,0.27,1.0,0.78,0.1,0.86,0.21,0.63,0.32,0.57
