,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.32,0.0,0.0,0.25,0.0,0.38,0.22,0.0,0.0,0.39,0.45,0.0,0.21,0.34
codeblocks.csv,0.35,0.38,0.17,0.29,0.58,0.37,0.28,0.82,0.0,0.5,0.07,0.47,0.31,0.77
ctrlr.csv,0.13,0.42,0.0,0.43,0.03,0.14,0.21,0.11,0.19,0.31,0.22,0.6,0.0,0.29
dvt.csv,0.41,0.45,0.18,0.32,0.0,0.14,0.58,0.7,0.3,0.34,0.34,0.53,0.0,0.49
flylinkdc.csv,0.6,0.61,0.13,0.57,0.72,0.37,0.44,0.54,0.46,0.44,0.35,0.41,0.15,0.69
kowari.csv,0.35,0.27,0.02,0.37,0.37,0.33,0.19,0.46,0.36,0.51,0.32,0.39,0.31,0.59
ldview.csv,0.42,0.47,0.16,0.51,0.86,0.33,0.31,0.26,0.0,0.72,0.37,0.15,0.16,0.84
maidsafe-dht.csv,0.32,0.5,0.16,0.4,0.87,0.51,0.42,0.82,0.45,0.4,0.12,0.23,0.18,0.47
n2cms.csv,0.47,0.65,0.23,0.7,0.39,0.39,0.45,0.49,0.62,0.47,0.38,0.19,0.2,0.57
nuttx.csv,0.54,0.26,0.09,0.21,0.78,0.35,0.13,0.67,0.25,0.45,0.24,0.29,0.21,0.47
rtb-team.csv,0.42,0.43,0.0,0.55,0.0,0.33,0.31,0.28,0.67,0.08,0.39,0.07,0.11,0.23
super-tux.csv,0.4,0.4,0.21,0.37,0.78,0.36,0.35,0.82,0.38,0.55,0.34,0.39,0.26,0.95
vdsf.csv,0.33,0.69,0.27,0.55,0.73,0.29,0.43,0.8,0.45,0.47,0.34,0.24,0.07,0.85
xbrlapi.csv,0.19,0.71,0.02,0.44,0.04,0.22,0.22,0.05,0.37,0.08,0.27,0.27,0.06,0.06
