,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.32,0.0,0.0,0.15,0.0,0.71,0.21,0.0,0.0,0.29,0.81,0.0,0.86,0.21
codeblocks.csv,0.32,0.31,0.51,0.19,0.42,0.57,0.24,0.8,0.0,0.86,0.05,0.81,0.57,0.64
ctrlr.csv,0.14,0.33,0.0,0.5,0.02,0.14,0.26,0.06,0.2,0.24,0.24,0.76,0.0,0.18
dvt.csv,0.7,0.48,0.27,0.33,0.0,0.21,0.71,0.63,0.2,0.43,0.57,0.71,0.0,0.33
flylinkdc.csv,0.7,0.79,0.75,0.9,0.64,0.71,0.9,0.39,0.93,0.48,0.62,0.76,1.0,0.54
kowari.csv,0.24,0.19,0.01,0.35,0.24,0.43,0.14,0.34,0.6,0.81,0.29,0.81,0.71,0.42
ldview.csv,0.95,0.43,1.0,0.6,0.91,1.0,0.33,0.16,0.0,0.86,0.95,0.1,0.86,0.74
maidsafe-dht.csv,0.24,0.43,1.0,0.33,0.92,0.64,0.48,0.89,1.0,0.38,0.1,0.38,0.71,0.31
n2cms.csv,0.84,0.74,0.66,0.75,0.26,0.64,0.52,0.34,0.6,0.48,0.71,0.19,0.86,0.4
nuttx.csv,0.54,0.17,0.05,0.12,0.71,0.29,0.1,0.54,0.2,0.43,0.19,0.24,0.29,0.31
rtb-team.csv,0.32,0.31,0.0,0.65,0.0,0.36,0.26,0.16,0.8,0.05,0.57,0.05,0.29,0.13
super-tux.csv,0.86,0.38,0.63,0.35,0.77,0.86,0.38,0.9,0.33,0.95,0.76,0.81,0.71,0.91
vdsf.csv,0.62,0.86,0.36,0.77,0.7,0.79,0.76,0.85,1.0,0.62,0.9,0.43,0.43,0.77
xbrlapi.csv,0.14,0.74,0.01,0.46,0.02,0.29,0.26,0.03,0.6,0.05,0.33,0.24,0.29,0.03
