,gotjava.csv,empserver.csv,ctrlr.csv,anaxagora.csv,gmerlin.csv,ffigo.csv,skia.csv,zemljanka.csv,wikipediardware.csv
anaxagora.csv,0.01,0.45,0.17,0.4,0.36,0.75,0.39,0.98,0.9
ctrlr.csv,0.0,0.62,0.48,0.12,0.2,0.69,0.08,0.94,0.68
empserver.csv,0.0,0.73,0.2,0.12,0.36,0.72,0.39,0.93,0.92
ffigo.csv,0.0,0.0,0.5,0.05,0.29,0.8,0.32,0.95,0.33
gmerlin.csv,0.0,0.54,0.16,0.17,0.48,0.5,0.36,0.0,0.75
skia.csv,0.01,0.5,0.12,0.23,0.44,0.69,0.62,0.99,1.0
wikipediardware.csv,0.0,0.5,0.19,0.18,0.36,0.62,0.35,0.96,0.88
zemljanka.csv,0.0,0.47,0.25,0.18,0.31,0.59,0.38,0.99,0.79
