,exordium.csv,mptvseries.csv,toped.csv,qtractor.csv,flexpay.csv,openmsx.csv,synergyspace.csv,elateportal.csv,tango-cs.csv
elateportal.csv,0.75,0.58,0.84,0.62,0.68,0.93,0.92,0.05,0.58
exordium.csv,0.25,0.71,0.56,0.61,0.67,0.88,0.89,0.95,0.74
flexpay.csv,0.67,1.0,1.01,0.82,0.61,0.69,0.89,0.88,0.86
mptvseries.csv,0.69,0.39,0.64,0.66,0.82,0.94,0.85,1.0,0.82
openmsx.csv,0.93,0.59,0.92,0.87,0.75,0.55,0.7,1.18,0.84
qtractor.csv,0.42,0.58,0.63,0.38,0.62,0.74,0.77,0.95,0.69
synergyspace.csv,0.59,0.69,0.8,0.59,0.7,0.79,0.5,0.91,0.84
tango-cs.csv,0.76,0.67,0.63,0.58,0.73,0.81,0.77,0.86,0.53
toped.csv,0.89,0.72,0.19,0.69,0.93,0.76,0.9,0.84,0.94
