,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.41,0.45,0.54,0.23,0.41,0.97,0.0,0.14,0.15,0.59,0.63,0.16,0.57,0.14,0.23,0.25,0.29
codepurge.csv,0.38,0.52,0.25,0.32,0.15,0.37,0.22,0.61,0.37,0.51,0.42,0.27,0.6,0.98,0.26,0.41,0.13
fontforge.csv,0.25,0.5,0.47,0.45,0.54,0.52,0.11,0.93,0.24,0.6,0.6,0.11,0.5,0.12,0.22,0.37,0.21
gmerlin.csv,0.23,0.32,0.24,0.24,0.28,0.39,0.22,0.56,0.06,0.49,0.4,0.34,0.23,0.11,0.18,0.93,0.13
hatari.csv,0.46,0.57,0.97,0.51,0.77,0.55,0.0,0.44,0.15,0.59,0.67,0.12,0.49,0.18,0.16,0.24,0.14
jaolt.csv,0.55,0.51,0.5,0.21,0.49,0.51,0.13,0.65,0.3,0.62,0.73,0.14,0.97,0.28,0.2,0.43,0.14
jcl.csv,0.13,0.48,0.13,0.2,0.03,0.18,0.0,0.12,0.11,0.46,0.09,0.16,0.22,0.09,0.96,0.27,0.12
ltp.csv,0.41,0.36,0.36,0.45,0.99,0.4,0.09,0.52,0.25,0.35,0.37,0.05,0.43,0.28,0.36,0.32,0.29
mia.csv,0.62,0.4,0.31,0.33,0.82,0.22,0.14,0.49,0.18,0.66,0.36,1.0,0.32,0.24,0.2,0.49,0.06
net-snmp.csv,0.99,0.53,0.36,0.12,0.48,0.43,0.17,0.57,0.14,0.3,0.54,0.26,0.4,0.18,0.2,0.37,0.15
opde.csv,0.51,0.5,0.59,0.91,0.6,0.36,0.0,0.4,0.29,0.5,0.56,0.18,0.63,0.23,0.24,0.43,0.14
oppna-program-hsatools.csv,0.59,0.45,0.62,0.48,0.81,0.56,0.05,0.58,0.25,0.62,1.0,0.16,0.83,0.3,0.23,0.47,0.29
powerfolder-.csv,0.26,0.97,0.24,0.17,0.14,0.33,0.5,0.37,0.21,0.51,0.48,0.14,0.37,0.13,0.25,0.16,0.11
qlc.csv,0.0,0.39,0.0,0.18,0.0,0.16,0.0,0.0,0.91,0.2,0.04,0.21,0.08,0.08,0.17,0.0,0.0
quantlib.csv,0.13,0.39,0.07,0.12,0.11,0.48,0.2,0.45,0.23,0.18,0.7,0.42,0.75,0.2,0.2,0.32,0.93
tcl.csv,0.22,0.15,0.17,0.38,0.24,0.29,0.0,0.51,0.15,0.98,0.35,0.1,0.25,0.0,0.08,0.15,0.21
