,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.79,0.45,0.5,0.84,0.6,0.58,0.53,0.75,0.73,0.45,0.51,0.74,0.47,0.9,0.7,0.69,0.81
codepurge.csv,0.61,0.45,0.73,0.77,0.89,0.72,0.75,0.31,0.8,0.37,0.63,0.6,0.43,0.96,0.44,0.59,0.74
fontforge.csv,0.73,0.43,0.68,0.39,0.54,0.48,0.56,0.52,0.44,0.32,0.61,0.54,0.67,0.74,0.39,0.68,0.57
gmerlin.csv,0.71,0.62,0.8,0.71,0.81,0.69,0.88,0.38,0.94,0.38,0.66,0.68,0.93,0.91,0.52,0.68,0.86
hatari.csv,0.61,0.4,0.59,0.39,0.44,0.46,0.62,0.37,0.67,0.32,0.54,0.53,0.68,0.95,0.83,0.94,0.85
jaolt.csv,0.4,0.35,0.53,0.5,0.53,0.51,0.57,0.32,0.5,0.3,0.5,0.41,0.4,0.68,0.57,0.55,0.59
jcl.csv,0.75,0.89,0.5,0.93,0.89,0.91,0.83,0.89,0.94,0.56,0.8,0.97,0.89,0.95,0.92,0.95,0.9
ltp.csv,0.68,0.48,0.59,0.93,0.45,0.65,0.62,0.4,0.68,0.78,0.96,0.8,0.63,0.67,0.67,0.79,0.84
mia.csv,0.4,0.89,0.95,0.94,0.34,0.94,0.85,0.43,0.85,0.37,0.8,0.94,0.73,0.94,0.52,0.37,0.91
net-snmp.csv,0.57,0.56,0.9,0.86,0.61,0.62,0.82,0.33,0.68,0.62,0.64,0.84,0.73,0.95,0.67,0.74,0.86
opde.csv,0.5,0.46,0.44,0.76,0.56,0.53,0.56,0.67,0.53,0.49,0.58,0.43,0.51,0.55,0.45,0.52,0.64
oppna-program-hsatools.csv,0.37,0.32,0.38,0.33,0.32,0.37,0.41,0.27,0.44,0.34,0.42,0.38,0.37,0.67,0.36,0.38,0.39
powerfolder-.csv,0.92,0.69,0.8,0.8,0.98,0.97,0.67,0.64,0.67,0.41,0.85,0.96,0.84,0.83,0.43,0.8,0.92
qlc.csv,0.0,0.77,0.0,0.88,0.0,0.95,0.67,0.0,0.93,0.9,0.67,0.97,0.75,0.5,0.89,0.0,0.67
quantlib.csv,0.8,0.8,0.0,0.86,0.97,0.49,0.89,0.45,0.94,0.83,0.56,0.95,0.45,0.94,0.41,0.92,0.95
tcl.csv,0.93,0.9,0.86,0.89,0.99,0.73,0.83,0.57,0.97,0.51,0.97,0.98,0.93,0.92,0.9,0.89,0.96
