,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,1.0,0.0,3.0,68.0,15.0,0.0,1.0,1.0,1.0,2.0
haphazard.csv,4.0,11.0,1.0,11.0,125.0,1.0,4.0,0.0,0.0,6.0
jicarilla.csv,2.0,0.0,0.0,281.0,5.0,2.0,0.0,0.0,0.0,0.0
ondex.csv,4.0,0.0,0.0,35.0,12.0,2.0,0.0,0.0,0.0,0.0
optalgtoolkit.csv,4.0,1.0,3.0,29.0,10.0,0.0,0.0,1.0,2.0,0.0
ossim.csv,0.0,0.0,69.0,0.0,125.0,49.0,63.0,61.0,64.0,195.0
projectts.csv,2.0,0.0,0.0,20.0,7.0,1.0,0.0,0.0,0.0,2.0
sabbu.csv,0.0,0.0,1.0,9.0,6.0,0.0,1.0,1.0,0.0,1.0
vxl.csv,1.0,0.0,1.0,22.0,5.0,49.0,1.0,1.0,64.0,1.0
zact.csv,111.0,0.0,3.0,281.0,0.0,1.0,63.0,61.0,0.0,1.0
