,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.84,0.68,0.73,0.81,0.73,0.6,0.85,0.06,0.87,0.77
haphazard.csv,0.85,0.87,0.82,0.82,1.0,0.95,0.63,0.74,0.08,0.88
jicarilla.csv,0.81,0.73,0.04,1.0,0.73,0.87,0.97,0.96,0.72,0.83
ondex.csv,0.8,0.77,0.81,0.73,0.68,0.78,0.89,0.77,0.71,0.09
optalgtoolkit.csv,0.82,0.84,0.99,0.54,0.79,0.05,0.78,0.88,0.64,0.68
ossim.csv,0.95,0.95,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
projectts.csv,0.85,0.67,0.83,0.73,0.94,0.48,0.05,0.66,0.67,0.72
sabbu.csv,0.04,0.71,0.76,0.48,0.54,0.66,0.72,0.8,0.66,0.77
vxl.csv,0.76,0.11,0.49,0.83,0.86,1.0,0.61,0.95,1.0,0.88
zact.csv,1.0,0.97,0.77,1.0,0.29,0.81,1.0,1.01,0.92,0.97
