,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.3,0.33,0.15,0.97
miranda-icq.csv,0.49,0.33,0.95,0.48
red5.csv,1.0,0.27,0.41,0.48
thrust.csv,0.15,0.91,0.22,0.24
