,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.85,0.74,0.89,0.05
miranda-icq.csv,0.7,0.72,0.06,0.65
red5.csv,0.0,0.8,0.62,0.81
thrust.csv,0.92,0.12,0.83,0.85
