,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.14,0.42,0.19,0.0,0.57,0.85,0.86,0.49,0.57,0.45,0.7,0.54
archive-crawler.csv,0.24,0.38,0.31,0.07,0.61,0.73,0.7,0.5,0.51,0.44,0.45,0.46
blue-c.csv,0.2,0.41,0.13,0.0,0.57,0.86,0.79,0.57,0.52,0.3,0.54,0.25
dynalloy.csv,0.17,0.62,0.11,0.04,0.46,0.88,0.59,0.42,0.56,0.28,0.52,0.18
jcae.csv,0.32,0.4,0.33,0.08,0.91,0.85,0.81,0.68,0.76,0.4,0.47,0.54
kmatplot.csv,0.44,0.35,0.12,0.23,1.0,0.58,0.65,0.62,0.58,0.34,0.46,0.22
mscore.csv,0.21,0.36,0.11,0.2,0.63,0.72,0.78,0.56,0.5,0.29,0.42,0.25
nosleepsoftware.csv,0.67,0.0,0.0,0.55,0.0,0.33,0.61,0.5,0.4,0.14,0.0,0.0
openmalaria.csv,0.25,0.36,0.11,0.25,0.8,0.71,0.69,0.74,0.58,0.35,0.41,0.25
popeye-chess.csv,0.31,0.48,0.12,0.17,0.68,0.74,0.74,0.67,0.6,0.35,0.55,0.29
riff-evolve.csv,0.3,0.64,0.12,0.0,0.7,1.0,0.86,0.71,0.74,0.34,0.48,0.31
virtuoso.csv,0.2,0.37,0.11,0.25,0.35,0.55,0.6,0.45,0.49,0.32,0.4,0.5
