,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.53,0.51,0.56,0.55,0.57,0.74,0.63,0.52,0.91,0.65,0.61,0.66,0.45,0.82
customwars.csv,0.57,0.49,0.48,0.52,0.53,0.89,0.64,0.53,0.63,0.7,0.36,0.87,0.48,0.6
firebreath.csv,0.67,0.53,0.56,0.7,0.73,0.88,0.46,0.53,0.69,0.81,0.46,0.68,0.43,0.63
gss.csv,0.8,0.71,0.83,0.9,0.89,0.74,0.59,0.56,0.95,0.98,0.62,0.96,0.73,0.34
irplus.csv,0.54,0.49,0.56,0.48,0.52,0.77,0.65,0.59,0.58,0.5,0.35,0.84,0.49,0.57
kwave.csv,0.77,0.75,0.78,0.75,1.0,0.53,0.56,0.9,0.81,0.74,0.88,0.82,0.5,0.79
liferea.csv,0.62,0.51,0.5,0.59,0.41,0.76,0.62,0.62,0.69,0.59,0.39,0.74,0.59,0.71
plearn.csv,0.46,0.67,0.88,0.76,0.85,1.0,0.76,0.88,0.76,0.68,0.58,0.62,0.69,0.99
psrchive.csv,0.56,0.65,0.72,0.22,0.73,0.83,0.62,0.6,0.58,0.65,0.29,0.75,0.68,0.75
qcad2.csv,0.69,0.6,0.64,0.68,0.81,0.53,0.55,0.37,0.81,0.92,0.71,0.7,0.48,0.85
tzod.csv,0.53,0.95,0.48,0.64,0.48,0.8,0.69,0.83,0.89,0.77,0.36,0.77,0.66,0.77
wxcode.csv,0.71,0.79,0.74,0.66,0.7,0.94,0.81,0.53,0.71,0.81,0.18,0.74,0.66,0.77
xinity.csv,0.88,0.92,0.82,1.03,1.0,0.59,0.81,0.93,0.81,0.8,0.93,0.47,0.86,1.0
xmoto.csv,0.56,0.69,0.56,0.57,0.93,0.94,0.68,0.45,0.66,0.8,0.52,0.74,0.36,0.87
