,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.4,0.48,0.55,0.41,0.5,0.47,0.54,0.67,0.74,0.6,0.66,0.45,0.4,0.47
exordium.csv,0.65,0.67,0.94,0.83,0.76,0.83,0.87,0.77,0.7,0.69,0.89,0.96,0.96,0.98
google-caja.csv,0.31,0.75,0.4,0.32,0.47,0.38,0.53,0.35,0.38,0.5,0.4,0.37,0.48,0.38
hydrogen.csv,0.54,0.5,0.74,0.81,0.85,0.6,0.8,0.7,0.73,0.68,0.57,0.54,0.72,0.8
kmess.csv,0.37,0.5,0.5,0.5,0.59,0.75,0.57,0.59,0.92,0.72,0.62,0.42,0.49,0.49
kvs.csv,0.8,0.0,0.75,0.83,0.5,0.95,0.86,0.75,0.95,0.88,0.93,0.89,0.96,0.98
megameknet.csv,0.75,0.64,0.9,0.86,0.77,0.57,0.74,0.75,0.74,0.7,0.57,0.72,0.58,0.86
ns-3-dev-def-routing.csv,0.9,0.67,0.93,0.71,0.63,0.91,0.74,0.94,0.7,0.91,0.91,0.64,0.83,0.99
open-ms.csv,0.93,0.81,0.75,0.94,0.83,0.83,0.98,0.71,0.73,0.98,0.72,0.86,0.87,0.88
openmsx.csv,0.4,0.5,0.76,0.55,0.57,0.47,0.58,0.53,0.5,0.53,0.69,0.55,0.59,0.45
rezilla.csv,0.76,0.71,0.54,0.39,0.68,0.5,0.74,0.58,0.7,0.6,0.6,0.56,0.69,0.54
sauerbraten.csv,0.38,0.54,0.77,0.91,0.5,0.45,0.58,0.56,0.58,0.53,0.82,0.57,0.51,0.65
webdriver.csv,0.48,0.44,0.91,0.96,0.59,0.51,0.75,0.94,0.81,0.79,0.89,0.6,0.71,0.83
yafdotnet.csv,0.38,0.67,0.45,0.48,0.5,0.38,0.52,0.41,0.53,0.48,0.57,0.43,0.44,0.48
