,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.56,0.48,0.61,0.61,0.67,0.03,0.11,0.55,0.51,0.24
fritzing.csv,0.79,0.63,0.72,0.58,0.86,0.02,0.29,0.35,0.61,0.42
jlinalg.csv,0.88,0.4,0.59,0.59,0.78,0.03,0.26,0.5,0.58,0.29
knowledge.csv,0.86,0.56,0.65,0.58,0.91,0.02,0.15,0.45,0.59,0.38
massiv.csv,0.25,0.44,0.46,0.0,0.0,0.32,0.0,0.57,0.0,0.25
oscarmcmaster.csv,0.54,0.37,0.36,0.62,0.81,0.02,0.15,0.48,0.35,0.41
playerstage.csv,0.72,0.55,0.7,0.71,0.81,0.02,0.14,0.38,0.42,0.39
quarkplusplus.csv,0.83,0.52,0.59,0.55,0.76,0.04,0.11,0.46,0.62,0.3
rtrt-on-gpu.csv,0.45,0.38,0.23,0.3,0.53,0.01,0.46,0.2,0.2,0.22
superwaba.csv,0.51,0.66,0.64,0.59,0.67,0.02,0.22,0.55,0.39,0.29
