,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.32,0.43,0.62,0.57,0.56,0.54,0.12,0.66,0.5,0.34
fritzing.csv,0.68,0.72,0.73,0.61,0.73,0.69,0.24,0.34,0.66,0.58
jlinalg.csv,0.82,0.4,0.34,0.62,0.65,0.86,0.33,0.54,0.63,0.5
knowledge.csv,0.79,0.61,0.61,0.47,0.87,0.61,0.23,0.6,0.62,0.64
massiv.csv,0.17,0.37,0.41,0.0,0.0,0.99,0.0,0.63,0.0,0.23
oscarmcmaster.csv,0.43,0.3,0.29,0.61,0.71,0.67,0.12,0.64,0.29,0.61
playerstage.csv,0.62,0.64,0.73,0.74,0.68,0.52,0.12,0.39,0.42,0.62
quarkplusplus.csv,0.69,0.63,0.52,0.54,0.66,0.91,0.12,0.41,0.64,0.38
rtrt-on-gpu.csv,0.34,0.44,0.18,0.34,0.4,0.28,0.63,0.18,0.2,0.38
superwaba.csv,0.41,0.71,0.65,0.55,0.56,0.7,0.34,0.71,0.33,0.47
