,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.7,0.98,0.45,0.41,0.47
empyrean.csv,1.0,0.48,0.26,0.42,0.48
mplayer-ce.csv,0.65,0.46,0.21,0.48,0.99
nutz.csv,0.72,0.67,1.0,0.63,0.45
yafdotnet.csv,0.62,0.73,0.46,1.0,0.48
