,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.59,0.83,0.03,0.15,0.7,0.81,0.46
libtorrent.csv,0.74,0.42,0.06,0.33,0.74,0.95,0.56
mcmc-jags.csv,0.71,0.42,0.05,0.67,0.76,0.87,0.58
olap-navigator.csv,0.98,0.5,0.14,0.43,0.84,1.0,0.58
pidgin.csv,0.86,0.45,0.05,0.71,0.86,0.96,0.76
sepgsql.csv,0.97,0.45,0.12,0.56,0.85,1.0,0.64
xstore.csv,0.71,0.44,0.05,0.6,0.78,0.97,0.74
