,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.39,0.78,0.42,2.0,167
acdk.csv,0.33,0.56,0.15,0.6,1.0,609
acegisecurity.csv,0.61,0.43,0.46,0.49,2.0,405
adaptagrams.csv,0.32,0.5,0.18,0.64,1.0,587
adobe-source.csv,0.48,0.375,0.41,0.56,2.0,281
adonthell.csv,0.51,0.38,0.47,0.52,2.0,206
agilitybook.csv,0.41,0.44,0.33,0.6,1.0,475
aime.csv,0.21,0.36,0.2,0.81,3.0,478
alembik.csv,0.21,0.53,0.1,0.705,1.0,608
algebsql.csv,0.38,0.33,0.5,0.76,2.0,226
all-plasm.csv,0.33,0.435,0.26,0.75,2.0,566
alleg.csv,0.43,0.39,0.35,0.54,2.0,294
alpine.csv,0.74,0.41,0.61,0.43,2.0,253
alsa.csv,0.67,0.42,0.49,0.45,2.0,358
amanda.csv,0.59,0.45,0.46,0.52,2.0,452
amateur-scrolls.csv,0.255,0.375,0.185,0.73,2.0,484
ambulant.csv,0.57,0.38,0.55,0.56,2.0,231
amygdala.csv,0.39,0.39,0.34,0.62,1.0,387
anaxagora.csv,0.63,0.425,0.48,0.42,2.0,289
apertium.csv,0.2,0.39,0.14,0.56,2.0,296
apolloplayer.csv,0.57,0.395,0.47,0.5,2.0,277
applet2app.csv,0.57,0.5,0.35,0.46,1.0,539
arcallians.csv,0.7,0.41,0.58,0.48,2.0,306
archive-crawler.csv,0.335,0.48,0.21,0.71,2.0,592
ardour.csv,0.46499999999999997,0.51,0.275,0.48,1.0,546
arianne.csv,0.95,0.375,0.93,0.41,2.0,66
array4j.csv,0.29,0.33,0.33,0.635,3.0,152
arsenal-1.csv,0.09,0.4,0.07,0.8,2.0,534
atlc.csv,0.65,0.38,0.62,0.52,2.0,193
atomsite.csv,0.72,0.43,0.56,0.4,2.0,286
atunes.csv,0.67,0.42,0.52,0.43,2.0,292
auber.csv,0.77,0.4,0.67,0.45,2.0,223
aubit4gl.csv,0.15,0.38,0.15,0.83,2.0,519
aufs.csv,0.39,0.38,0.345,0.64,2.0,372
autat.csv,0.385,0.475,0.24,0.6,1.0,561
autofac.csv,0.61,0.44,0.46,0.43,1.0,349
autoopencas.csv,0.28,0.27,0.4,0.79,3.0,146
avifile.csv,0.445,0.35,0.525,0.67,2.0,199
avisynth2.csv,0.02,0.25,0.02,0.62,4.0,53
awemud.csv,0.55,0.47,0.35,0.44,1.0,469
aztec.csv,0.4,0.48,0.24,0.59,1.0,567
azureus.csv,0.81,0.39,0.73,0.4,2.0,128
baadengine.csv,0.96,0.38,0.905,0.39,2.0,81
bacnet.csv,0.46,0.44,0.33,0.56,2.0,470
bacula.csv,0.64,0.43,0.49,0.5,2.0,417
badtrinity-zero.csv,0.44,0.44,0.33,0.57,2.0,465
badtrinitycore.csv,0.29,0.42,0.21,0.61,2.0,449
barracudamvc.csv,0.93,0.35,0.97,0.42,2.0,18
bdbbasic.csv,0.45,0.38,0.38,0.5,2.0,214
beast-mcmc.csv,0.69,0.43,0.51,0.44,1.0,386
benojt.csv,1.0,0.365,1.0,0.39,2.0,24
betoffice.csv,0.71,0.32,0.83,0.51,2.0,12
bibedt.csv,0.6,0.45,0.41,0.5,1.0,489
bibletime.csv,0.68,0.42,0.5,0.41,2.0,305
bigdata.csv,0.525,0.4,0.44,0.52,2.0,293
bionote.csv,0.39,0.5,0.22,0.57,1.0,577
bl-toolkit.csv,0.71,0.36,0.74,0.46,2.0,52
blogentis.csv,0.485,0.36,0.54,0.59,2.0,150
bloodycore.csv,0.14,0.355,0.13,0.85,2.0,511
blue-c.csv,0.76,0.42,0.63,0.48,2.0,337
bnetd.csv,0.76,0.39,0.69,0.42,2.0,140
bochs.csv,0.74,0.37,0.65,0.45,2.0,158
boost-sandbox.csv,0.48,0.34,0.535,0.58,2.0,108
boost.csv,0.62,0.45,0.42,0.47,2.0,461
botsnscouts.csv,0.64,0.46,0.43,0.4,1.0,429
brlcad.csv,0.29,0.45,0.19,0.71,2.0,575
bscwweasel.csv,0.305,0.43,0.23,0.71,2.0,540
bullet.csv,0.54,0.36,0.545,0.51,3.0,105
bulmages.csv,0.165,0.315,0.11,0.67,3.0,275
bwapi.csv,0.975,0.37,0.97,0.41,2.0,50
bzbyte.csv,0.455,0.17,0.49,0.37,11.0,7
calcubetimer.csv,0.695,0.38,0.65,0.46,2.0,144
capcode.csv,0.54,0.36,0.55,0.595,2.0,203
carabiner.csv,0.64,0.44,0.47,0.38,1.0,310
cascading.csv,0.7,0.42,0.525,0.43,2.0,329
chaperon.csv,0.38,0.35,0.405,0.635,2.0,217
checker-framework.csv,0.83,0.39,0.76,0.44,2.0,160
chipster.csv,0.17,0.355,0.16,0.685,3.0,324
cities3d.csv,0.32,0.405,0.23,0.59,2.0,415
clamav.csv,0.71,0.43,0.54,0.4,2.0,300
cleartk.csv,0.79,0.38,0.74,0.46,2.0,148
co-ode-owl-plugins.csv,0.57,0.4,0.5,0.55,2.0,322
codeblocks.csv,0.47,0.475,0.3,0.49,1.0,495
codepurge.csv,0.5,0.435,0.39,0.475,2.0,336
continuum-ide.csv,0.21,0.4,0.175,0.8,2.0,547
coot.csv,0.42,0.29,0.415,0.54,3.0,48
cornerstone.csv,0.26,0.5,0.12,0.63,1.0,583
crisscross.csv,0.94,0.37,0.9,0.42,2.0,87
critterding.csv,0.9,0.37,0.88,0.43,2.0,73
ctrlr.csv,0.22,0.295,0.3,0.86,2.0,335
cubefs.csv,0.51,0.38,0.495,0.54,2.0,200
cuberok.csv,0.58,0.4,0.5,0.56,2.0,341
customsagetv.csv,0.32,0.475,0.195,0.62,1.0,562
customwars.csv,0.47,0.49,0.28500000000000003,0.45,1.0,493
dataobjectsdotnet.csv,0.73,0.4,0.65,0.47,2.0,224
decidr.csv,0.85,0.39,0.78,0.41,2.0,132
delphilhlplib.csv,0.52,0.485,0.33,0.56,1.0,570
doomlegacy.csv,0.6,0.42,0.47,0.52,2.0,397
dspace-gsoc.csv,0.74,0.42,0.59,0.39,2.0,242
dsworkbench.csv,0.18,0.38,0.14,0.86,2.0,565
dvd-create.csv,0.76,0.4,0.64,0.42,2.0,209
dvt.csv,0.42,0.385,0.36,0.58,2.0,319
dxengine.csv,0.275,0.38,0.26,0.635,2.0,326
dynalloy.csv,0.64,0.36,0.64,0.56,2.0,171
e-bio-flow.csv,0.37,0.44,0.24,0.6,1.0,510
echongl.csv,0.53,0.42,0.45,0.55,2.0,377
electric-core.csv,0.71,0.425,0.56,0.46,2.0,346
elmo.csv,0.59,0.39,0.54,0.53,2.0,247
emeraldemu.csv,0.49,0.46,0.32,0.56,1.0,533
emftriple.csv,0.18,0.26,0.3,0.89,3.0,240
emisview.csv,0.11,0.325,0.05,0.58,3.0,184
emite.csv,0.25,0.44,0.17,0.74,1.0,576
empserver.csv,0.78,0.39,0.71,0.45,2.0,170
empyrean.csv,0.0,0.0,0.0,0.0,96.0,0
emulemorph.csv,0.02,0.17,0.0,0.5,6.0,8
encog-cs.csv,0.63,0.37,0.59,0.47,2.0,133
encog-java.csv,0.14,0.5,0.07,0.75,1.0,598
enlightenment.csv,1.0,0.37,1.0,0.4,2.0,35
enzo.csv,0.93,0.38,0.9,0.4,2.0,69
esmf.csv,0.68,0.395,0.62,0.51,2.0,241
etherboot.csv,0.575,0.23,0.33,0.38,7.0,15
etics.csv,0.4,0.515,0.22,0.62,1.0,597
exist.csv,0.89,0.39,0.83,0.39,2.0,104
exordium.csv,0.23,0.55,0.1,0.73,1.0,616
extprosys.csv,0.79,0.37,0.74,0.44,2.0,112
