,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.16,0.2,0.0,0.34,0.29,0.06,0.37,0.48,0.92,0.44,0.55,0.3,0.53,0.04,0.92,0.98,0.2,0.35,0.92,0.39
baadengine.csv,0.19,0.89,0.5,0.7,0.35,1.0,0.81,0.58,0.71,0.96,0.3,0.94,0.59,0.16,1.0,1.0,0.85,0.5,0.54,0.68
biopax.csv,1.0,1.0,1.0,1.0,1.0,0.91,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.62,0.59,1.0,0.1,0.85,1.0
crux-framework.csv,0.02,0.08,0.25,0.3,0.24,0.04,0.11,0.12,0.07,0.38,0.08,0.11,0.18,0.04,0.77,0.63,0.12,0.15,0.15,0.14
dataobjectsdotnet.csv,0.82,0.91,1.0,0.42,0.11,0.65,0.63,0.66,0.68,0.67,0.79,0.54,0.35,0.27,0.0,0.74,0.68,0.25,1.0,0.72
exl.csv,0.17,0.58,1.0,0.76,0.81,0.22,0.64,0.57,0.37,0.57,0.69,0.6,0.68,0.55,0.38,0.2,0.44,0.7,0.08,0.78
gdis.csv,0.25,0.32,0.75,0.71,0.32,0.76,0.76,0.51,0.7,0.56,0.13,0.61,0.31,0.35,0.0,0.52,0.31,0.3,0.46,0.58
gogoego.csv,0.27,0.6,1.0,0.4,0.7,0.51,0.28,0.75,0.38,0.48,0.75,0.78,0.37,0.69,0.38,0.09,0.79,0.4,0.08,0.79
httpcontentparser.csv,0.36,0.55,0.5,0.35,0.11,0.0,0.45,0.75,0.23,0.3,0.77,0.43,0.42,0.04,0.0,0.26,0.63,0.3,0.08,0.44
impala.csv,0.28,0.62,0.25,0.6,0.6,0.32,0.58,0.09,0.78,0.54,0.13,0.26,0.31,0.2,0.23,0.43,0.32,0.6,0.31,0.13
jgameai.csv,0.18,0.23,0.0,0.03,0.3,0.03,0.04,0.06,0.19,0.27,0.01,0.04,0.02,0.05,0.62,0.0,0.04,0.05,0.0,0.03
loki-lib.csv,0.08,0.38,0.75,0.74,0.37,0.94,0.53,0.19,0.37,0.7,0.19,0.54,0.52,0.29,0.69,0.26,0.72,0.2,0.08,0.39
snakeyaml.csv,0.51,0.46,0.5,0.33,0.29,0.32,0.17,0.12,0.11,0.37,0.18,0.15,0.24,0.11,0.15,0.04,0.43,0.0,0.08,0.38
tart.csv,0.6,0.85,1.0,0.24,0.06,0.07,0.43,0.39,0.17,0.21,0.41,0.48,0.23,0.13,0.15,0.0,0.69,0.2,0.23,0.63
vars-redux.csv,0.99,0.91,1.0,0.62,0.29,0.76,0.7,0.34,0.66,0.52,0.84,0.89,0.4,0.27,0.23,0.07,0.88,0.0,0.15,0.64
werx.csv,0.99,0.83,0.0,1.0,1.0,1.0,0.95,0.91,0.99,0.99,0.99,0.96,1.0,0.98,1.0,1.0,1.0,1.0,0.77,0.94
xbg.csv,0.43,0.34,0.0,0.12,0.08,0.29,0.15,0.01,0.49,0.11,0.46,0.28,0.17,0.27,0.23,0.46,0.68,0.25,0.23,0.11
xqilla.csv,0.0,0.23,0.5,0.17,0.38,0.03,0.3,0.45,0.05,0.2,0.37,0.14,0.34,0.31,0.31,0.13,0.06,0.4,0.0,0.37
zealos.csv,0.02,0.06,0.0,0.2,0.08,0.29,0.06,0.21,0.02,0.02,0.0,0.02,0.02,0.02,0.15,0.04,0.03,0.05,0.0,0.27
