,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.0,0.67,0.47,0.42,0.83,0.67,1.0,0.44,0.21,0.78,0.59,0.5,0.67
fido.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.49,0.54,0.58,0.42,0.84,0.3,0.54,0.48,0.36,1.0,0.69,0.71,0.8
fluent-nhibernate.csv,0.13,0.28,0.23,0.07,0.29,0.0,0.17,0.23,0.0,0.18,0.0,0.9,0.18
galaxium.csv,0.54,0.31,0.95,0.59,0.67,0.29,0.29,0.54,0.63,0.38,0.24,0.73,0.39
itext.csv,0.61,0.54,0.72,0.98,0.75,0.0,0.34,0.66,0.83,0.54,0.45,0.66,0.61
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mediaportal.csv,0.38,0.37,0.39,0.4,0.65,0.0,0.5,0.92,0.54,0.0,0.24,0.66,0.38
ninject.csv,0.46,0.16,0.45,0.33,0.57,0.0,0.25,0.54,0.38,0.02,0.83,0.58,0.06
smartgwt.csv,0.57,0.24,0.49,0.48,0.97,0.54,0.44,0.56,0.37,0.11,0.23,0.56,0.31
sqlpower-library.csv,0.97,0.57,0.57,0.72,0.47,0.29,0.63,0.6,0.54,0.54,0.79,0.58,0.34
stuproa-cims.csv,0.24,1.0,0.54,0.42,0.05,0.33,0.52,0.43,0.27,0.76,0.39,0.62,0.52
uface.csv,0.34,0.57,0.64,0.4,0.47,0.58,0.58,0.48,0.28,0.82,0.62,0.68,1.0
