,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.93,0.78,0.89,0.97,0.92,1.0,1.0,0.96,1.0,0.91,0.8,0.88,0.84
fido.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.85,0.76,0.97,0.94,0.89,1.0,0.84,0.94,1.0,1.0,0.8,0.82,0.9
fluent-nhibernate.csv,0.11,0.24,0.2,0.06,0.25,0.0,0.14,0.19,0.0,0.17,0.0,0.88,0.15
galaxium.csv,0.5,0.27,0.94,0.56,0.63,0.25,0.25,0.52,0.67,0.33,0.2,0.71,0.36
itext.csv,0.63,0.6,0.71,0.97,0.73,0.0,0.3,0.7,1.0,0.48,0.4,0.65,0.56
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mediaportal.csv,0.83,0.78,0.34,0.35,0.64,0.0,0.54,0.9,0.67,0.81,0.2,0.82,0.41
ninject.csv,0.41,0.13,0.4,0.29,0.52,0.0,0.21,0.5,0.33,0.02,0.8,0.53,0.05
smartgwt.csv,0.57,0.2,0.46,0.44,0.96,0.5,0.4,0.57,0.33,0.09,0.2,0.53,0.3
sqlpower-library.csv,0.96,0.56,0.6,0.74,0.46,0.25,0.75,0.63,0.67,0.52,0.8,0.59,0.31
stuproa-cims.csv,0.93,1.0,0.89,0.97,1.0,1.0,0.67,0.91,1.0,0.74,0.8,1.0,0.91
uface.csv,0.63,0.71,0.71,0.38,0.44,0.75,0.63,0.74,0.33,0.81,0.8,0.88,1.0
