,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,1.0,0.57,0.84,0.87,0.4,0.71,0.0,0.86,0.95,0.5,0.71,0.82,0.63
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.82,0.75,0.78,0.87,0.31,0.92,0.78,0.84,0.9,0.0,0.55,0.53,0.44
fluent-nhibernate.csv,0.06,0.27,0.25,0.13,0.02,0.03,0.11,0.07,0.05,0.75,0.05,0.0,0.02
galaxium.csv,0.18,0.16,0.02,0.23,0.07,0.23,0.33,0.33,0.48,0.0,0.04,0.16,0.39
itext.csv,0.47,0.61,0.25,0.0,0.18,0.18,0.33,0.47,0.5,0.0,0.15,0.29,0.09
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mediaportal.csv,0.88,0.88,0.11,0.13,0.29,0.65,0.61,0.0,0.7,1.0,0.07,0.63,0.7
ninject.csv,0.18,0.01,0.17,0.2,0.04,0.04,0.11,0.22,0.12,0.0,0.0,0.05,0.09
smartgwt.csv,0.41,0.09,0.36,0.23,0.0,0.25,0.22,0.48,0.27,0.12,0.25,0.27,0.63
sqlpower-library.csv,0.0,0.36,0.53,0.37,0.49,0.31,0.61,0.5,0.7,0.38,0.25,0.45,0.44
stuproa-cims.csv,0.94,0.0,0.79,0.87,0.99,0.91,0.72,0.86,0.93,0.12,0.87,0.75,0.81
uface.csv,0.88,0.68,0.54,0.53,0.34,0.7,0.56,0.8,0.82,0.12,0.67,0.65,0.02
